s_part,n_source_edges,f_part_861,f_part_1207,f_part_794,f_part_1406,f_part_375,f_part_1029,f_part_832,f_part_937,f_part_1149,f_part_985,f_part_1118,f_part_544,f_part_1260,f_part_657,f_part_1089,f_part_1023,f_part_1035,f_part_894
8,3175,0.11779527559055118,0.007244094488188977,0.1820472440944882,0.2494488188976378,0.14929133858267715,0.007244094488188977,0.032755905511811026,0.004724409448818898,0.0,0.002204724409448819,0.0,0.24251968503937008,0.0015748031496062992,0.0,0.001889763779527559,0.0012598425196850393,0.0,0.0
134,1882,0.052603613177470775,0.008501594048884165,0.020191285866099893,0.0021253985122210413,0.0,0.24070138150903295,0.07545164718384698,0.16684378320935175,0.0,0.05100956429330499,0.012221041445270989,0.0,0.07863974495217853,0.0,0.0,0.07066950053134963,0.20828905419766205,0.012752391073326248
19,3300,0.07787878787878788,0.01606060606060606,0.07787878787878788,0.09363636363636364,0.0496969696969697,0.12121212121212122,0.1103030303030303,0.07424242424242425,0.0,0.08,0.030606060606060605,0.10363636363636364,0.07121212121212121,0.0,0.005151515151515152,0.03090909090909091,0.05696969696969697,0.0006060606060606061
18,6665,0.09062265566391597,0.0024006001500375095,0.07696924231057764,0.11582895723930983,0.05581395348837209,0.07576894223555888,0.055213803450862714,0.09422355588897224,0.0,0.09977494373593399,0.04861215303825957,0.13083270817704426,0.012003000750187547,0.0,0.0,0.04276069017254314,0.09887471867966992,0.0003000750187546887
244,9819,0.06823505448620022,0.14797840920664018,0.0032589876769528467,0.13545167532335267,0.007638252367858234,0.01721152866890722,0.0038700478663815053,0.09756594357877585,0.0,0.10785212343415826,0.0007129035543334351,0.16417150422649965,0.13606273551278134,0.0,0.0008147469192382117,0.0006110601894286587,0.10846318362358692,0.00010184336490477646
344,2232,0.07168458781362007,0.004480286738351254,0.12768817204301075,0.18906810035842295,0.1039426523297491,0.01478494623655914,0.03853046594982079,0.017025089605734768,0.0,0.10528673835125447,0.09587813620071685,0.2253584229390681,0.0,0.0,0.004032258064516129,0.002240143369175627,0.0,0.0
94,6792,0.08451118963486455,0.0035335689045936395,0.08141931684334511,0.14796819787985865,0.08303886925795052,0.02429328621908127,0.017962308598351,0.08775029446407538,0.0,0.11690223792697291,0.03121319199057715,0.1606301531213192,0.007361601884570083,0.00014723203769140164,0.0055948174322732625,0.04696702002355713,0.10026501766784453,0.00044169611307420494
113,1253,0.24820430965682364,0.02713487629688747,0.007980845969672785,0.018355945730247406,0.0,0.20510774142059057,0.0965682362330407,0.2737430167597765,0.0,0.0,0.0015961691939345571,0.0,0.06384676775738228,0.019952114924181964,0.0223463687150838,0.011971268954509178,0.0031923383878691143,0.0
219,1101,0.10535876475930972,0.02633969118982743,0.015440508628519528,0.08719346049046321,0.011807447774750226,0.055404178019981834,0.023614895549500452,0.08628519527702089,0.0,0.07447774750227067,0.006357856494096276,0.06267029972752043,0.03451407811080836,0.24432334241598547,0.0,0.01725703905540418,0.14895549500454133,0.0
115,1264,0.1550632911392405,0.0245253164556962,0.0189873417721519,0.20490506329113925,0.005537974683544304,0.10205696202531646,0.027689873417721517,0.1764240506329114,0.0,0.1550632911392405,0.0023734177215189874,0.013449367088607595,0.011867088607594937,0.0,0.0,0.022943037974683545,0.07911392405063292,0.0
297,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1742,0.03903559127439724,0.006314580941446613,0.0,0.0028702640642939152,0.0,0.11653272101033295,0.06314580941446613,0.13949483352468428,0.0,0.21699196326061998,0.13892078071182548,0.000574052812858783,0.014351320321469576,0.0,0.0,0.07290470723306544,0.1888633754305396,0.0
254,3759,0.0779462623038042,0.1449853684490556,0.0039904229848363925,0.13248204309656825,0.004256451183825486,0.07262569832402235,0.007714817770683693,0.0928438414471934,0.0,0.10215482841181166,0.00026602819898909286,0.15349827081670658,0.10907156158552807,0.0,0.0,0.0010641127959563714,0.006916733173716414,0.09018355945730247
356,1326,0.09049773755656108,0.1847662141779789,0.0,0.038461538461538464,0.0,0.14630467571644043,0.006033182503770739,0.1455505279034691,0.0,0.09049773755656108,0.0,0.0007541478129713424,0.19155354449472098,0.0,0.0,0.0022624434389140274,0.05505279034690799,0.048265460030165915
289,10030,0.09112662013958125,0.12253240279162513,0.002093718843469591,0.11665004985044865,0.0022931206380857427,0.11744765702891326,0.01156530408773679,0.09611166500498504,0.0,0.0971086739780658,0.0018943170488534397,0.13220338983050847,0.11555333998005982,0.0,0.0013958125623130609,0.000897308075772682,0.09112662013958125,0.0
352,2833,0.08083303918108013,0.09106953759265796,0.0024708789269325803,0.21496646664313449,0.0007059654076950229,0.022590893046240734,0.006000705965407695,0.06989057536180728,0.0,0.14084009883515708,0.0007059654076950229,0.24779385810095306,0.011648429226967879,0.0,0.0,0.0028238616307800918,0.107659724673491,0.0
361,498,0.07228915662650602,0.012048192771084338,0.01606425702811245,0.1285140562248996,0.0,0.03614457831325301,0.030120481927710843,0.07028112449799197,0.0,0.14859437751004015,0.03413654618473896,0.08634538152610442,0.04216867469879518,0.0,0.321285140562249,0.002008032128514056,0.0,0.0
,,5021.0,3983.0,2358.0,7409.0,1942.0,4125.0,1701.0,5437.0,352.0,5727.0,1174.0,7926.0,3889.0,295.0,280.0,1069.0,4900.0,435.0
