s_part,n_source_edges,f_part_1332,f_part_1004,f_part_377,f_part_1299,f_part_1287,f_part_409,f_part_1127,f_part_881,f_part_378,f_part_1438,f_part_744,f_part_466,f_part_1176,f_part_1539,f_part_904,f_part_1212,f_part_801
53,3033,0.04516979887899769,0.005275304978569074,0.35410484668644904,0.466864490603363,0.0013188262446422684,0.098252555225849,0.003297065611605671,0.0,0.011869436201780416,0.002967359050445104,0.0009891196834817012,0.0013188262446422684,0.0,0.0,0.008572370590174745,0.0,0.0
328,772,0.018134715025906734,0.031088082901554404,0.0012953367875647669,0.0051813471502590676,0.07901554404145078,0.02072538860103627,0.12694300518134716,0.0,0.2655440414507772,0.10362694300518134,0.019430051813471502,0.15932642487046633,0.0,0.0,0.05310880829015544,0.11658031088082901,0.0
5,2502,0.03597122302158273,0.015587529976019185,0.13149480415667467,0.1906474820143885,0.04396482813749001,0.05875299760191847,0.0771382893685052,0.0,0.1474820143884892,0.07953637090327738,0.03157474020783373,0.06754596322941647,0.0,0.015587529976019185,0.05755395683453238,0.04716227018385292,0.0
40,8513,0.03911664513097615,0.0028192176670973805,0.1733818865264889,0.27217197227769296,0.01374368612709973,0.0689533654410901,0.09585340068131093,0.0,0.03054152472688829,0.11124163044755081,0.010454598848819453,0.0038764242922588983,0.00023493480559144838,0.0023493480559144838,0.07811582285915658,0.09691060730647245,0.00023493480559144838
192,1071,0.05322128851540616,0.007469654528478058,0.028011204481792718,0.0,0.058823529411764705,0.02707749766573296,0.17366946778711484,0.0,0.1830065359477124,0.03361344537815126,0.0009337068160597573,0.009337068160597572,0.0009337068160597573,0.0,0.14565826330532214,0.25583566760037346,0.022408963585434174
268,13125,0.012114285714285715,0.14224761904761904,0.0128,0.27634285714285717,0.046857142857142854,0.07641904761904762,0.08358095238095238,0.0,0.01721904761904762,0.10925714285714286,0.00030476190476190474,0.11573333333333333,0.0,0.000838095238095238,0.0025904761904761904,0.10361904761904762,7.619047619047618e-05
16,2418,0.028535980148883373,0.0037220843672456576,0.27791563275434245,0.3738626964433416,0.0037220843672456576,0.06451612903225806,0.015301902398676593,0.0,0.016129032258064516,0.10628618693134823,0.08767576509511993,0.00041356492969396195,0.00041356492969396195,0.0008271298593879239,0.0206782464846981,0.0,0.0
91,4835,0.04798345398138573,0.0043433298862461224,0.1439503619441572,0.20889348500517063,0.026473629782833505,0.06080661840744571,0.08707342295760083,0.0,0.08872802481902792,0.09906928645294726,0.06308169596690796,0.00579110651499483,0.0,0.00020682523267838676,0.07755946225439504,0.08521199586349534,0.000827300930713547
218,1742,0.009184845005740528,0.0338691159586682,0.07634902411021814,0.44144661308840416,0.003444316877152698,0.02468427095292767,0.012055109070034443,0.0,0.015499425947187142,0.17451205510907003,0.04362801377726751,0.0,0.0,0.0028702640642939152,0.03329506314580941,0.1285878300803674,0.000574052812858783
112,1419,0.11557434813248767,0.04510218463706836,0.005637773079633545,0.0014094432699083862,0.05637773079633545,0.16279069767441862,0.2649753347427766,0.0,0.20789288231148698,0.005637773079633545,0.0014094432699083862,0.059901338971106416,0.017618040873854827,0.02255109231853418,0.03312191684284708,0.0,0.0
275,1101,0.05903723887375113,0.023614895549500452,0.030881017257039057,0.13896457765667575,0.030881017257039057,0.07266121707538602,0.07084468664850137,0.0,0.03451407811080836,0.07811080835603997,0.0036330608537693005,0.03178928247048138,0.24795640326975477,0.0018165304268846503,0.03178928247048138,0.14350590372388738,0.0
220,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1884,0.038747346072186835,0.00583864118895966,0.002653927813163482,0.0031847133757961785,0.026008492569002124,0.010615711252653927,0.13747346072186836,0.0,0.12367303609341826,0.21549893842887474,0.1305732484076433,0.009554140127388535,0.0,0.0,0.12101910828025478,0.1751592356687898,0.0
213,824,0.0691747572815534,0.024271844660194174,0.05825242718446602,0.16262135922330098,0.043689320388349516,0.14441747572815533,0.18567961165048544,0.0,0.09223300970873786,0.1662621359223301,0.0036407766990291263,0.0036407766990291263,0.0,0.007281553398058253,0.03640776699029126,0.0024271844660194173,0.0
289,4264,0.023921200750469045,0.1446998123827392,0.009380863039399626,0.24272983114446528,0.05347091932457786,0.06777673545966229,0.08067542213883677,0.0,0.06402439024390244,0.10694183864915573,0.00023452157598499062,0.10342401500938087,0.0,0.00023452157598499062,0.0021106941838649157,0.005863039399624765,0.09451219512195122
253,7249,0.03338391502276176,0.11284315077941785,0.007311353290108981,0.21409849634432335,0.06028417712787971,0.08056283625327632,0.08373568768105946,0.0,0.12029245413160436,0.09339219202648641,0.002207200993240447,0.10015174506828528,0.0,0.0009656504345426955,0.003448751551938198,0.08732238929507519,0.0
216,2386,0.03269069572506287,0.09220452640402348,0.008382229673093043,0.3818105616093881,0.02137468566638726,0.10854987426655491,0.08549874266554904,0.0,0.03143336127409891,0.12028499580888516,0.0008382229673093043,0.011316010058675607,0.00041911148365465214,0.0,0.006705783738474434,0.09849119865884325,0.0
361,533,0.020637898686679174,0.013133208255159476,0.02626641651031895,0.24390243902439024,0.054409005628517824,0.06566604127579738,0.0600375234521576,0.0,0.024390243902439025,0.13883677298311445,0.0300187617260788,0.01125703564727955,0.0,0.30956848030018763,0.001876172607879925,0.0,0.0
,,1899.0,3850.0,4801.0,14447.0,2057.0,4190.0,4932.0,352.0,3662.0,5876.0,1074.0,3228.0,303.0,291.0,1940.0,4686.0,435.0
