siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),891,42,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,891,42,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1013,891,42,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0
A-Wda C-11,891,42,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0
CH-SGs 390,891,42,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0
CZ-Pu Pu XIV A 19,891,42,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0
F-Pn NAL 1236,891,42,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0
SI-Lna 18 (olim 17),891,42,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0
Cantus GOTTSCHALK,891,42,0,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),780,14,1,0,0,0,0,0,0,0,0,0,32,1,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,780,14,1,0,0,0,0,0,0,0,0,0,32,1,1,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,780,14,1,0,0,0,0,0,0,0,0,0,32,1,1,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),39,42,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,39,42,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 11,39,42,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CH-E 611,940,42,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0
D-KA Aug. LX,940,42,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0
D-Sl HB.I.55,940,42,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0
A-SF XI 480,940,42,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0
CH-SGs 388,940,42,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0
D-B Mus. 40047,940,42,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0
D-BAs Msc.Lit.25 (olim Ed.IV.11),940,42,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0
D-KNd 215,940,42,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0
GB-Ob MS. Laud Misc. 284,940,42,0,0,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 3a,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
SK-Sk 2,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
CZ-Pn (Praha) XII A 21,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
SI-Lna 19 (olim 18),547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 15182,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1030,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
CZ-R R 17,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
SK-Bra BAI ECLad.3,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
D-MZb D,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 12601,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
CZ-Pu XII C 3,547,42,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0
