s_part,n_source_edges,f_part_464,f_part_412,f_part_750,f_part_912,f_part_936,f_part_529,f_part_493,f_part_369,f_part_894,f_part_964,f_part_609,f_part_861,f_part_509
101,1538,0.20741222366710013,0.3920676202860858,0.2886866059817945,0.0,0.06306892067620286,0.009102730819245773,0.0013003901170351106,0.0019505851755526658,0.021456436931079324,0.0,0.0,0.01495448634590377,0.0
355,1290,0.05193798449612403,0.010852713178294573,0.0,0.14418604651162792,0.12015503875968993,0.2069767441860465,0.10542635658914729,0.0015503875968992248,0.0,0.22170542635658916,0.0,0.11782945736434108,0.01937984496124031
181,4584,0.10056719022687609,0.17146596858638743,0.10711169284467714,0.03337696335078534,0.1555410122164049,0.143760907504363,0.11736474694589878,0.03992146596858639,0.0274869109947644,0.019851657940663178,0.0,0.027268760907504363,0.056282722513089
70,5209,0.11422537915146862,0.21155692071414858,0.12075254367440967,0.010750623920138222,0.09963524668842388,0.1866001151852563,0.14110193895181417,0.005951238241505087,0.00998272221155692,0.0042234593971971586,0.0,0.012286427337300825,0.08293338452678058
54,1340,0.15298507462686567,0.0,0.022388059701492536,0.03208955223880597,0.31791044776119404,0.3559701492537313,0.0037313432835820895,0.0,0.0,0.022388059701492536,0.014179104477611941,0.018656716417910446,0.05970149253731343
18,1913,0.07841087297438579,0.349189754312598,0.15629900679560899,0.0020909566126502874,0.03763721902770518,0.02561421850496602,0.12702561421850497,0.10350235232618923,0.08416100365917407,0.0005227391531625719,0.0,0.01620491374803973,0.01934134866701516
275,1004,0.08964143426294821,0.13247011952191234,0.013944223107569721,0.0697211155378486,0.09063745019920319,0.10059760956175298,0.08964143426294821,0.0069721115537848604,0.053784860557768925,0.04083665338645418,0.17828685258964144,0.11055776892430279,0.022908366533864542
204,8790,0.07292377701934016,0.16541524459613197,0.004664391353811149,0.01478953356086462,0.008304891922639362,0.10648464163822526,0.09852104664391353,0.00022753128555176336,0.16632536973833903,0.17121729237770195,0.0,0.18987485779294652,0.0012514220705346986
122,1301,0.007686395080707148,0.0023059185242121443,0.007686395080707148,0.03689469638739431,0.22136817832436587,0.2321291314373559,0.24519600307455802,0.07532667179093006,0.0,0.003843197540353574,0.0,0.04304381245196003,0.1245196003074558
300,135,0.0,0.08148148148148149,0.05185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
212,9888,0.09223300970873786,0.1490695792880259,0.0036407766990291263,0.07453478964401294,0.05218446601941747,0.11792071197411003,0.09081715210355987,0.0,0.1304611650485437,0.13804611650485438,0.0,0.14987864077669902,0.0012135922330097086
329,2587,0.06803247004252029,0.26671820641669886,0.003865481252415926,0.009277155005798222,0.018554310011596443,0.051797448782373405,0.13181291070738307,0.0,0.2489369926555856,0.012369540007730962,0.0,0.187862388867414,0.0007730962504831851
,,3626.0,6938.0,2011.0,1451.0,2998.0,5077.0,4173.0,524.0,3822.0,3378.0,315.0,4224.0,1042.0
