s_part,n_source_edges,f_part_721,f_part_439,f_part_650,f_part_545,f_part_975,f_part_611,f_part_1043,f_part_843,f_part_651,f_part_564,f_part_579,f_part_752,f_part_371,f_part_370
94,3137,0.05737966209754543,0.5208798214854957,0.27064073956008927,0.0057379662097545425,0.11412177239400702,0.005100414408670704,0.000637551801083838,0.0031877590054191903,0.007013069811922219,0.0,0.0,0.014663691424928276,0.000637551801083838,0.0
312,1410,0.03687943262411347,0.02127659574468085,0.00425531914893617,0.20567375886524822,0.03829787234042553,0.15390070921985816,0.002127659574468085,0.12056737588652482,0.01702127659574468,0.23900709219858157,0.0,0.04539007092198582,0.019148936170212766,0.09645390070921986
214,3594,0.05509181969949917,0.21202003338898165,0.10879243183082916,0.13466889259877574,0.06733444629938787,0.09488035614913745,0.007512520868113523,0.09209794101279911,0.06204785754034502,0.06232609905397885,0.0,0.013633834168057874,0.031163049526989426,0.05843071786310518
87,8077,0.060789897239073916,0.25145474805001855,0.12764640336758698,0.06512318930295902,0.06920886467747926,0.10090380091618176,0.0,0.10981800173331682,0.0666088894391482,0.008666584127770213,0.0,0.0013618917915067476,0.0399900953324254,0.09842763402253311
105,1185,0.05738396624472574,0.0,0.02869198312236287,0.24135021097046414,0.02109704641350211,0.2,0.0008438818565400844,0.04388185654008439,0.030379746835443037,0.020253164556962026,0.0008438818565400844,0.00590717299578059,0.09873417721518987,0.25063291139240507
35,2003,0.03944083874188717,0.4313529705441837,0.21717423864203694,0.00998502246630055,0.07139291063404893,0.021467798302546182,0.0014977533699450823,0.11882176734897654,0.08337493759360959,0.00199700449326011,0.0,0.003494757863205192,0.0,0.0
301,4189,0.02984005729291,0.32943423251372644,0.1396514681308188,0.0214848412508952,0.06660300787777512,0.08713296729529721,0.004296968250179041,0.12365719742181905,0.036762950584865124,0.004774409166865601,0.00023872045834328001,0.0062067319169252805,0.04082119837670088,0.10909524946287896
178,1496,0.14171122994652408,0.014705882352941176,0.004679144385026738,0.20254010695187166,0.17179144385026737,0.26336898395721925,0.024732620320855617,0.0053475935828877,0.029411764705882353,0.10227272727272728,0.01270053475935829,0.026737967914438502,0.0,0.0
329,987,0.08105369807497467,0.15501519756838905,0.031408308004052685,0.04559270516717325,0.0729483282674772,0.08713272543059777,0.0010131712259371835,0.08713272543059777,0.0121580547112462,0.03343465045592705,0.17933130699088146,0.030395136778115502,0.02330293819655522,0.160081053698075
272,9793,0.010415602981721638,0.3025630552435413,0.010109261717553355,0.021443888491779844,0.07821913611763505,0.10364546104360257,0.00030634126416828345,0.1185540692331257,0.0022465026039007454,0.1750229755948126,0.0,0.06422955172061677,0.0007147962830593281,0.11252935770448279
247,1629,0.04910988336402701,0.003683241252302026,0.001841620626151013,0.11847759361571517,0.009821976672805401,0.143646408839779,0.001841620626151013,0.240024554941682,0.15776550030693678,0.014119091467157766,0.0,0.003069367710251688,0.06813996316758748,0.18845917740945364
327,1011,0.003956478733926805,0.5845697329376854,0.002967359050445104,0.0,0.016815034619188922,0.002967359050445104,0.0,0.20672601384767555,0.01483679525222552,0.0009891196834817012,0.0,0.04945598417408507,0.0,0.11671612265084075
309,3306,0.03660012099213551,0.3200241984271022,0.015124016938898971,0.06805807622504537,0.09165154264972777,0.11131276467029642,0.0006049606775559589,0.13127646702964307,0.0009074410163339383,0.14488808227465214,0.0,0.07531760435571688,0.0015124016938898972,0.0027223230490018148
343,499,0.02404809619238477,0.20440881763527055,0.01002004008016032,0.022044088176352707,0.06613226452905811,0.06613226452905811,0.4228456913827655,0.10420841683366733,0.04008016032064128,0.02004008016032064,0.0,0.018036072144288578,0.002004008016032064,0.0
319,8829,0.04655113829425756,0.2471401064673236,0.008268207044965455,0.10703363914373089,0.08347491222108959,0.10069090497225054,0.0018122097632800997,0.1037490089477857,0.005663155510250311,0.14271151885830785,0.0,0.056858081322913125,0.0009061048816400498,0.09514101257220524
271,1913,0.03920543648719289,0.3434396236278097,0.007318348144276007,0.04704652378463147,0.08572922111866178,0.10611604809200209,0.0,0.1432305279665447,0.006795608991113434,0.02770517511761631,0.0,0.052273915316257184,0.006795608991113434,0.13434396236278098
,,2290.0,14435.0,3616.0,3736.0,4025.0,5259.0,327.0,5737.0,1600.0,4405.0,198.0,1824.0,920.0,4686.0
