s_part,n_source_edges,f_part_385,f_part_540,f_part_677,f_part_369,f_part_819,f_part_684,f_part_461,f_part_977,f_part_544,f_part_701,f_part_558,f_part_897,f_part_938,f_part_1031,f_part_936,f_part_761
40,2832,0.05190677966101695,0.2376412429378531,0.192090395480226,0.11405367231638418,0.010240112994350282,0.09639830508474577,0.006002824858757062,0.0,0.0024717514124293787,0.0,0.2704802259887006,0.006709039548022599,0.0,0.0,0.012005649717514125,0.0
254,1567,0.047223994894703254,0.017868538608806637,0.004467134652201659,0.0,0.2169751116783663,0.0408423739629866,0.15315890236119975,0.0,0.10338225909380983,0.005105296745373325,0.0,0.2929164007657945,0.0,0.0,0.02616464582003829,0.09189534141671984
132,2854,0.05010511562718991,0.09215136650315348,0.08023826208829712,0.03959355290819902,0.1545199719691661,0.0578135949544499,0.0767344078486335,0.003153468815697267,0.0861948142957253,0.023826208829712685,0.1173791170287316,0.09110021023125438,0.0,0.0,0.0644709180098108,0.06271899088997898
73,7226,0.050096872405203434,0.12856352061998338,0.08289510102407971,0.058815388873512314,0.03874896208137282,0.06504290063659009,0.09618045945197896,0.0016606698034874066,0.11126487683365624,0.011209521173539995,0.1671740935510656,0.012870190977027402,0.0,0.0,0.06974813174647107,0.10572931082203155
127,1185,0.05063291139240506,0.0,0.030379746835443037,0.0,0.2548523206751055,0.018565400843881856,0.18649789029535865,0.0,0.0379746835443038,0.00590717299578059,0.0,0.030379746835443037,0.0,0.0,0.11983122362869199,0.2649789029535865
97,4419,0.05227427019687712,0.10545372256166553,0.08372935053179452,0.036433582258429506,0.10454854039375425,0.060647205250056575,0.0943652410047522,0.0,0.10454854039375425,0.042090970807875085,0.12763068567549218,0.01493550577053632,0.0,0.0,0.07309346005883684,0.10024892509617561
21,2164,0.040203327171903884,0.19038817005545286,0.13401109057301294,0.07809611829944547,0.01432532347504621,0.0633086876155268,0.02264325323475046,0.0,0.1256931608133087,0.05961182994454713,0.24861367837338263,0.0046210720887245845,0.0,0.0,0.018022181146025877,0.0004621072088724584
169,744,0.016129032258064516,0.14650537634408603,0.08333333333333333,0.04973118279569892,0.033602150537634407,0.033602150537634407,0.03225806451612903,0.002688172043010753,0.135752688172043,0.06048387096774194,0.20430107526881722,0.006720430107526882,0.0,0.0,0.051075268817204304,0.14381720430107528
181,1222,0.1448445171849427,0.004909983633387889,0.02618657937806874,0.0,0.23404255319148937,0.15711947626841244,0.25941080196399346,0.02618657937806874,0.0,0.0,0.0,0.07937806873977087,0.015548281505728314,0.0,0.04991816693944354,0.0024549918166939444
138,987,0.07396149949341439,0.0851063829787234,0.020263424518743668,0.011144883485309016,0.06788247213779129,0.06281661600810537,0.0911854103343465,0.0,0.08611955420466058,0.00303951367781155,0.06990881458966565,0.05876393110435663,0.1773049645390071,0.0,0.02735562310030395,0.1651469098277609
242,1165,0.07725321888412018,0.1742489270386266,0.024892703862660945,0.004291845493562232,0.09098712446351931,0.1278969957081545,0.1905579399141631,0.0017167381974248926,0.15107296137339055,0.0008583690987124463,0.015450643776824034,0.04206008583690987,0.0,0.0,0.03175965665236052,0.06695278969957082
264,9523,0.01050089257586895,0.12716580909377298,0.0042003570303475795,0.005985508768245301,0.023942035072981205,0.07529139976898036,0.10322377402079176,0.00042003570303475793,0.1139346844481781,0.0003150267772760685,0.17515488816549407,0.24225559172529665,0.0,0.0,0.002310196366691169,0.11529980048304106
123,1606,0.04420921544209216,0.00311332503113325,0.0012453300124533001,0.0,0.1320049813200498,0.008717310087173101,0.13885429638854296,0.0,0.23163138231631383,0.0958904109589041,0.0006226650062266501,0.0186799501867995,0.0,0.0,0.12391033623910336,0.20112079701120797
226,2216,0.034747292418772564,0.18050541516245489,0.008574007220216607,0.006768953068592058,0.03294223826714802,0.0970216606498195,0.09205776173285199,0.0,0.11101083032490974,0.0,0.23465703971119134,0.19494584837545126,0.0,0.0,0.004061371841155234,0.002707581227436823
300,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
328,10918,0.04469683092141418,0.11311595530316908,0.0066862062648836785,0.0030225315991939915,0.12328265250045796,0.07290712584722477,0.10249129877266899,0.0009159186664224216,0.09956035904011724,0.0015570617329181168,0.1398607803627038,0.20324235207913538,0.0,0.0,0.0024729803993405386,0.08618794651034987
363,1908,0.019916142557651992,0.19549266247379454,0.0047169811320754715,0.0015723270440251573,0.02358490566037736,0.04769392033542977,0.06551362683438156,0.0,0.17295597484276728,0.0,0.2526205450733753,0.06656184486373165,0.0,0.0,0.0041928721174004195,0.14517819706498952
343,407,0.04668304668304668,0.14250614250614252,0.0171990171990172,0.002457002457002457,0.036855036855036855,0.085995085995086,0.07125307125307126,0.22113022113022113,0.17444717444717445,0.03931203931203931,0.10565110565110565,0.04914004914004914,0.0,0.0,0.007371007371007371,0.0
,,2249.0,6455.0,2368.0,1353.0,4288.0,3695.0,5194.0,161.0,5551.0,718.0,7891.0,6287.0,194.0,115.0,1698.0,4841.0
