siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
E-H Ms. 7 (ant. 5),96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
A-Wda C-11,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
CH-SGs 390,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
CZ-Pu Pu XIV A 19,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
D-KNd 1161,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
I-MC 542,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
I-VCd CLXX,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
E-VI Mss. 113-114,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
I-BV V 19,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
PL-STAb ms. 2,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
E-SA 5,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
D-Dl Mscr.Dresd.A.0122,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
GB-Lbl Additional 18031,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
F-O Ms 121,96,6,3,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
