s_part,n_source_edges,f_part_639,f_part_1006,f_part_459,f_part_517,f_part_536,f_part_693,f_part_812,f_part_835,f_part_473,f_part_957,f_part_993,f_part_741,f_part_967,f_part_873,f_part_747,f_part_918,f_part_1125,f_part_713
147,2429,0.05187319884726225,0.2099629477151091,0.276657060518732,0.00699876492383697,0.12103746397694524,0.005351996706463565,0.0012350761630300535,0.0032935364347468094,0.0,0.2976533552902429,0.0008233841086867024,0.0,0.0,0.006587072869493619,0.016467682173734045,0.0008233841086867024,0.0,0.0012350761630300535
194,1817,0.04402861860209136,0.001651073197578426,0.004402861860209136,0.061640066042927905,0.01375894331315355,0.16565767749036875,0.14034122179416622,0.18051733626857458,0.07154650522839846,0.000550357732526142,0.04788112272977435,0.0,0.0,0.006604292790313704,0.04567969179966978,0.058337919647771054,0.1574023115024766,0.0
342,2059,0.042739193783389993,0.08450704225352113,0.12190383681398738,0.09179213210296261,0.06556580864497329,0.0825643516270034,0.07722195240407966,0.08693540553666829,0.026711996114618747,0.11073336571151045,0.08013598834385624,0.0,0.0,0.015055852355512385,0.02476930548810102,0.027197668771248178,0.05730937348227295,0.0048567265662943174
157,7418,0.04529522782421138,0.11822593691021839,0.14505257481801023,0.009571313022378,0.08290644378538689,0.09733081693178755,0.02601779455378808,0.1179563224588838,0.008358047991372337,0.16419520086276623,0.009301698571043408,0.0,0.00013480722566729578,0.0031005661903478025,0.031005661903478025,0.03990293879751955,0.09962253976813157,0.0020221083850094365
380,1082,0.056377079482439925,0.0,0.025878003696857672,0.04713493530499076,0.021256931608133085,0.17929759704251386,0.17375231053604437,0.04066543438077634,0.0009242144177449168,0.0,0.015711645101663587,0.0,0.0009242144177449168,0.006469500924214418,0.029574861367837338,0.11275415896487985,0.28927911275415896,0.0
114,5339,0.05019666604233002,0.09683461322345008,0.12343135418617719,0.028282449896984453,0.07229818318037086,0.09720921520884061,0.07323468814384716,0.11181869263907099,0.04008241243678592,0.12605356808391086,0.009365049634763064,0.0,0.0,0.004120621839295748,0.0406443154148717,0.03708559655366173,0.08934257351563964,0.0
37,2094,0.034861509073543455,0.17239732569245464,0.22779369627507162,0.004297994269340974,0.08452722063037249,0.020534861509073542,0.007640878701050621,0.11986628462273162,0.05826170009551098,0.24164278892072588,0.0004775549188156638,0.0,0.0,0.004297994269340974,0.021012416427889206,0.0,0.0,0.002387774594078319
335,748,0.020053475935828877,0.13636363636363635,0.13636363636363635,0.008021390374331552,0.045454545454545456,0.02807486631016043,0.01871657754010695,0.14304812834224598,0.06016042780748663,0.20320855614973263,0.0,0.0,0.0,0.0053475935828877,0.0106951871657754,0.03877005347593583,0.14171122994652408,0.004010695187165776
32,666,0.024024024024024024,0.25075075075075076,0.536036036036036,0.0,0.13213213213213212,0.0,0.0045045045045045045,0.0015015015015015015,0.006006006006006006,0.025525525525525526,0.0,0.0,0.0015015015015015015,0.0045045045045045045,0.010510510510510511,0.0,0.0,0.003003003003003003
61,1617,0.17006802721088435,0.008658008658008658,0.017316017316017316,0.059369202226345084,0.17068645640074212,0.2702535559678417,0.18738404452690166,0.012368583797155226,0.0,0.0,0.014842300556586271,0.0,0.015460729746444033,0.011750154607297465,0.05071119356833643,0.0006184291898577613,0.0,0.010513296227581941
