siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
I-Ac 694,114,40,15,2,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,0
I-Ad 5,114,40,15,2,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,0
I-Nn vi. E. 20,114,40,15,2,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,0
US-Cn 24,114,40,15,2,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,0
V-CVbav lat. 8737,114,40,15,2,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,0
I-CHV s.c.,114,40,15,2,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,0
D-BAs Msc.Lit.25 (olim Ed.IV.11),69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
"E-Gs ms. 45 (olim Sant Feliu, 20)",69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
F-AI 44,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
F-Pn Latin 1085,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
F-Pn Latin 1090,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
F-Pn Latin 1240,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17296,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
I-Far s.c.,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
I-Fl Conv. sopp. 560,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
I-Lc 601,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
I-MZ 15/79,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
V-CVbav San Pietro B.79,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
F-Pn NAL 1535,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30849,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
Cantus GOTTSCHALK,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
E-Bbc M 662,69,40,15,2,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4306,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
E-SA 6,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
F-LA Ms 263,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
"GB-Lbl printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)",58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
SK-BRsa SNA 17,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
F-CA Ms 0078 (79),58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
F-SO 596,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 10510,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1135,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
CH-SGs Cod 378,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
GB-Ccc Ms 473,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 14965b,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 9448,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1118,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 13252,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
CH-SGs Cod 380,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
CH-SGs Cod 484,58,42,1,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
E-Bbc Ms. 2322,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
E-E L. III. 3.,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
E-H Ms. 9 (ant. 25),172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
F-Pn NAL 1412,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Antifonario s.s.,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
E-E L. III. 4.,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
E-LUc s.s.,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 3a,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
D-W Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
H-Bu lat. 122,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
F-R 248 (olim  A. 339),172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
F-CH Ms 0050,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. E Nr. 3,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
D-MZb E,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4305,172,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
E-Bbc Ms. 619,252,40,15,2,0,0,0,0,0,0,0,0,25,3,2,0,0,0,0,0,0,0,0,0
E-Tc 44.2,252,40,15,2,0,0,0,0,0,0,0,0,25,3,2,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30848,252,40,15,2,0,0,0,0,0,0,0,0,25,3,2,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30850,252,40,15,2,0,0,0,0,0,0,0,0,25,3,2,0,0,0,0,0,0,0,0,0
GB-Ob MS. Canon. Liturg. 202,252,40,15,2,0,0,0,0,0,0,0,0,25,3,2,0,0,0,0,0,0,0,0,0
I-AO 6,252,40,15,2,0,0,0,0,0,0,0,0,25,3,2,0,0,0,0,0,0,0,0,0
F-Collection privée Mont-Renaud,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
GB-Lbl Egerton 857,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
V-CVbav Vat. lat. 5319,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
CH-SGs Cod 338,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
CH-E Codex 121,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-AI Ms 0044,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-CA Ms 0061 (62),255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
