siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
V-CVbav Vat. lat. 5319,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-AUT Ms S 0012 (11),740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
V-CVbav Ross.0076,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-AI Ms 0044,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-CHRm Ms 0047 (40),740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-Pn Lat. 12050,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
GB-Lbl Harley 4951,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
I-BV 34,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
E-Bbc Ms. 1805,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
I-BGc MA 150 (Psi III.8),740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
I-Bc Q 09,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-Pn Lat. 1087,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
I-Tn G.V.20,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-G Ms 84 (Ms. 395 Rés.),740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-NS Ms 0004,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-Pn NAL 1669,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
V-CVbav Archivio di San Pietro F.22,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
D-B Ms mus 40078,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
D-BAa Msc Lit 7,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
D-Ful Aa 0006,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
E-Bbc M 648,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-LA Ms 239,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
CH-SGv VadSlg Ms 0295,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
D-BAa Msc Lit 6,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
D-Mbs Clm 03005,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-AUT Ms S 0010 (8*),740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-CA Ms 0075 (76),740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-LA Ms 118,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-Pm Ms 0384,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-Pn Lat. 2291,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
I-BGc MA 239 (Gamma III.18),740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
CZ-R R 396,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
Reconstitution Sacramentaire de Tours (TU1),740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
D-Mbs Clm 14965b,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
F-Pn Lat. 1134,740,25,7,3,2,0,0,0,0,0,0,0,17,4,1,1,1,0,0,0,0,0,0,0
D-Mbs Clm 02542,1321,25,7,3,2,0,0,0,0,0,0,0,37,4,1,1,1,0,0,0,0,0,0,0
SK-Bra BMI EC Lad.3 EL18,1321,25,7,3,2,0,0,0,0,0,0,0,37,4,1,1,1,0,0,0,0,0,0,0
SK-BRl Rkp. 387,1321,25,7,3,2,0,0,0,0,0,0,0,37,4,1,1,1,0,0,0,0,0,0,0
SK-Sk Graduale Scepusiense Nr.1,1321,25,7,3,2,0,0,0,0,0,0,0,37,4,1,1,1,0,0,0,0,0,0,0
