siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
A-Gu 29 (olim 38/8 f.),533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1011,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1015,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
CH-SGs 390,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
CZ-Pn XII A 24,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
D-KNd 1161,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
D-MZb A,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
I-BV V 19,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
I-VCd CLXX,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
PL-GD Mar. F 408,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
A-Wda C-11,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
I-MC 542,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,533,69,0,2,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),94,32,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,94,32,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,94,32,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
SK-BRl Rkp. 387,94,32,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),1275,33,0,2,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,1275,33,0,2,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 11,1275,33,0,2,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0
V-CVbav San Pietro B.79,1275,33,0,2,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0
CH-E 611,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
D-KA Aug. LX,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
D-Sl HB.I.55,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
A-SF XI 480,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1799**,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
CH-SGs 388,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
D-AAm G 20,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
D-B Mus. 40047,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
D-KNd 215,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
E-Tc 44.2,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 12044,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
F-VAL 114,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
GB-Ob MS. Canon. Liturg. 202,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
GB-Ob MS. Laud Misc. 284,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
I-Far s.c.,2467,11,0,2,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0
