siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
A-Wda C-11,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
CH-SGs 390,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
D-KNd 1161,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
I-VCd CLXX,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
I-BV V 19,645,32,11,0,2,0,0,0,0,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),315,31,11,0,2,0,0,0,0,0,0,0,14,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,315,31,11,0,2,0,0,0,0,0,0,0,14,3,1,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,315,31,11,0,2,0,0,0,0,0,0,0,14,3,1,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),606,59,11,0,2,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,606,59,11,0,2,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
