siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
A-KN CCl 1010,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
A-KN CCl 1011,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
A-KN CCl 1015,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
A-KN CCl 1017,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
CH-SGs 390,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
D-KNd 1161,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
D-MZb A,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
H-Bu lat. 118,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
I-BV V 19,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
I-VCd CLXX,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
PL-STAb ms. 1,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
V-CVbav Cappella Sistina 27,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
A-Wda C-11,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
I-MC 542,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [04] IV,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
PL-STAb ms. 2,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
E-SA 5,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [03] III,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
GB-Lbl Additional 18031,15,35,7,2,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
SK-Sk 2,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
D-W Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
SI-Lna 19 (olim 18),1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
F-Pn Latin 15182,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.1 (rkp. Perg. 12),1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
SK-Bra BAI ECLad.3,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
F-Pn Lat. 1030,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
CZ-R R 17,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
D-MZb D,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
F-Pn Latin 12601,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
A-KN CCl 1012,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
CZ-Bu R 387,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
CZ-Pu XII C 3,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
CZ-Pu XIII C 4,1105,35,7,2,0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0
