s_part,n_source_edges,f_part_751,f_part_1401,f_part_471,f_part_1095,f_part_941,f_part_417,f_part_477,f_part_553,f_part_1343,f_part_1134,f_part_558,f_part_769,f_part_1130,f_part_1156,f_part_1502,f_part_756,f_part_1364,f_part_1062,f_part_987
107,3298,0.058823529411764705,0.006064281382656155,0.20648878107944207,0.21619163129169194,0.17374166161309884,0.001212856276531231,0.08550636749545179,0.003941782898726501,0.0,0.004548211036992117,0.002122498483929654,0.0,0.22528805336567617,0.0,0.0009096422073984233,0.015160703456640388,0.0,0.0,0.0
195,1883,0.0403611258629846,0.06319702602230483,0.022835900159320233,0.002124269782262347,0.0,0.08709506107275625,0.017525225703664365,0.15613382899628253,0.0,0.22835900159320233,0.04992033988316516,0.009559214020180564,0.0,0.0,0.0,0.043016463090812536,0.06585236325013277,0.2012745618693574,0.012745618693574084
96,3281,0.06217616580310881,0.06674794270039622,0.08564462054251752,0.08076805851874429,0.0554708930204206,0.06156659555013715,0.049679975617189884,0.06735751295336788,0.0,0.12282840597378848,0.07680585187442852,0.025601950624809508,0.10179823224626638,0.0,0.011277049679975617,0.05486132276744895,0.0243828101188662,0.0521182566290765,0.0009143553794574825
59,9437,0.04153862456289075,0.006357952739217972,0.09399173466143902,0.12292041962488079,0.07968634099819857,0.017802267669810322,0.060400551022570734,0.08699798664829925,0.0,0.02924658260040267,0.10776729892974463,0.01006675850376179,0.15471018332097064,0.0001059658789869662,0.0020133517007523576,0.049486065486913214,0.037194023524425135,0.09939599448977429,0.0003178976369608986
361,11504,0.015212100139082058,0.2638212795549374,0.005824061196105702,0.11761126564673158,0.007301808066759388,0.045288595271210014,0.0706710709318498,0.08849095966620306,0.0,0.009301112656467317,0.10439847009735743,0.0006084840055632823,0.16046592489568845,0.0,0.0008692628650904034,0.003129346314325452,0.0004346314325452017,0.1064847009735744,8.692628650904033e-05
104,2479,0.03428801936264623,0.004437273093989512,0.14158935054457442,0.17103670835014118,0.1145623235175474,0.0016135538523598225,0.05405405405405406,0.018152480839048003,0.0,0.01290843081887858,0.11093182734973779,0.07583703106091166,0.22791448164582492,0.0,0.0012101653892698668,0.03146430012101654,0.0,0.0,0.0
20,3804,0.05362776025236593,0.00946372239747634,0.08385909568874869,0.0914826498422713,0.049158780231335436,0.03286014721345951,0.0528391167192429,0.07807570977917981,0.0,0.07912723449001051,0.09989484752891693,0.07255520504731862,0.1222397476340694,0.0,0.0007886435331230284,0.04810725552050473,0.033123028391167195,0.09200841219768664,0.0007886435331230284
345,1327,0.14091936699321778,0.07234363225320271,0.0052750565184626974,0.0015071590052750565,0.0,0.07234363225320271,0.15825169555388094,0.25244913338357194,0.0,0.20346646571213264,0.0,0.0,0.0,0.018839487565938208,0.023360964581763375,0.04672192916352675,0.00452147701582517,0.0,0.0
300,1201,0.06910907577019151,0.0507910074937552,0.025811823480432972,0.08076602830974189,0.010824313072439634,0.02414654454621149,0.061615320566194835,0.07077435470441298,0.0,0.030807660283097418,0.0791007493755204,0.006661115736885929,0.0649458784346378,0.24646128226477934,0.002497918401332223,0.006661115736885929,0.01498751040799334,0.1540383014154871,0.0
304,1554,0.09073359073359073,0.046975546975546977,0.03861003861003861,0.16795366795366795,0.0045045045045045045,0.018018018018018018,0.12226512226512226,0.18597168597168598,0.0,0.064993564993565,0.14864864864864866,0.0032175032175032173,0.014157014157014158,0.0,0.005791505791505791,0.014800514800514801,0.021879021879021878,0.05148005148005148,0.0
