siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
CH-SGs Cod 376,1208,18,16,2,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
CZ-Bm A 7115,1208,18,16,2,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
A-Gu Ms 0807,1208,18,16,2,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
A-KN Cod 73,1208,18,16,2,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
CZ-R R 418,1208,18,16,2,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
CH-SGs Cod 374,1208,18,16,2,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
D-TRp Hs 187,1208,18,16,2,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
CH-SGs Cod 343,1208,18,16,2,0,0,0,0,0,0,0,0,36,1,2,0,0,0,0,0,0,0,0,0
CH-SGs Cod 375,1222,42,15,2,0,0,0,0,0,0,0,0,37,5,1,0,0,0,0,0,0,0,0,0
F-Pa Ms 0135,1222,42,15,2,0,0,0,0,0,0,0,0,37,5,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 9441,1222,42,15,2,0,0,0,0,0,0,0,0,37,5,1,0,0,0,0,0,0,0,0,0
D-W Cod Guelf Helmst 1008,1222,42,15,2,0,0,0,0,0,0,0,0,37,5,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 903,1222,42,15,2,0,0,0,0,0,0,0,0,37,5,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 780,1222,42,15,2,0,0,0,0,0,0,0,0,37,5,1,0,0,0,0,0,0,0,0,0
US-PHf Lewis E 158,1222,42,15,2,0,0,0,0,0,0,0,0,37,5,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1132,1222,42,15,2,0,0,0,0,0,0,0,0,37,5,1,0,0,0,0,0,0,0,0,0
SK-Bra BMI EC Lad.3 EL18,95,58,15,2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
SK-BRl Rkp. 387,95,58,15,2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
SK-Sk Graduale Scepusiense Nr.1,95,58,15,2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
F-RS Ms 0264,95,58,15,2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
D-Sl HB I 246,95,58,15,2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
F-CO Ms 0444 (217),95,58,15,2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30852,1462,82,15,2,0,0,0,0,0,0,0,0,44,9,1,0,0,0,0,0,0,0,0,0
E-L Ms 8,1462,82,15,2,0,0,0,0,0,0,0,0,44,9,1,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30846,1462,82,15,2,0,0,0,0,0,0,0,0,44,9,1,0,0,0,0,0,0,0,0,0
E-Tc 35.6,1462,82,15,2,0,0,0,0,0,0,0,0,44,9,1,0,0,0,0,0,0,0,0,0
I-VEcap Codex Veronensis LXXXIX,1462,82,15,2,0,0,0,0,0,0,0,0,44,9,1,0,0,0,0,0,0,0,0,0
A-A Cod. 786,1327,34,15,2,0,0,0,0,0,0,0,0,41,3,1,0,0,0,0,0,0,0,0,0
F-VAL Ms 0121,1327,34,15,2,0,0,0,0,0,0,0,0,41,3,1,0,0,0,0,0,0,0,0,0
GB-Lbl Additional 18032,1327,34,15,2,0,0,0,0,0,0,0,0,41,3,1,0,0,0,0,0,0,0,0,0
F-RS Ms 0221,1327,34,15,2,0,0,0,0,0,0,0,0,41,3,1,0,0,0,0,0,0,0,0,0
