feast,feast_code,feast_date
"Helari, Tatiani",14031600,Mar.16
Gertrudis Nivellensis,14031700,Mar.17
"Patritii Episcopi, Confessoris",temp0108,Mar.17
"Gabrielis, Archang.",14031800,Mar.18
"Cyrilli Episcopi Hierosolymitani, Confessoris et Ecclesiae Doctoris",temp0016,Mar.18
"Edwardi, Mart.",14031810,Mar.18
Josephi,14031900,Mar.19
Cuthberti,14032000,Mar.20
Joachimi,14032010,Mar.20
Martinus Dumiensis archiepiscopi bracharensis,14032020,Mar.20
Benedicti,14032100,Mar.21
Benedicti TP,14032180,Mar.21
Annuntiatio Mariae,14032500,Mar.25
Annuntiatio TP,14032580,Mar.25
Ludgeri,14032600,Mar.26
Castuli,14032610,Mar.26
Joannis Damasceni Confessoris et Ecclesiae Doctoris,temp0056,Mar.27
Ruperti Salisburgii,14032700,Mar.27
"Reguli Silvanecti, transl.",14033000,Mar.30
Mariae Aegyptiacae,14040200,Apr.2
Octava Ludgeri,14040210,Apr.2
Francisci de Paola,14040220,Apr.2
Ambrosii,14040400,Apr.4
Ambrosii TP,14040480,Apr.4
Isidori,14040420,Apr.4
Benedicti Africani,14040410,April 4
Engratiae,14040430,April 4
Vincentii Ferrerii Confessoris,temp0158,Apr.5
Hugonis,14040910,Apr.9
Hugonis TP,14040980,Apr.9
Waldetrudis,14040900,Apr.9
Guthlaci,14041100,Apr.11
"Leonis I Papae, Confessoris et Ecclesiae Doctoris",temp0074,Apr.11
Zenonis,14041200,Apr.12
Victoris Bracharensis,14041210,Apr.12
Hermenegildi,14041300,Apr.13
"Tiburtii, Valeriani, Maximi",14041400,Apr.14
Justini Martyris,temp0071,Apr.14
Petri Gundisalvi,14041410,Apr.14
Fructuosi Archiepiscopi Bracharensis,14041610,Apr.16
Commem. Francisci,14041600,Apr.16
Comm. Aniceti I Papae et Martyris,temp0013,Apr.17
Potentianae virginis,14041700,Apr.17
Stephani Abbatis,14041710,Apr.17
"Leonis, Pont.",14041900,Apr.19
"Leonis, Pont., Quad.",14041910,Apr.19
"Sulpitii, Serviliani",14042000,Apr.20
Anselmi,14042100,Apr.21
Inventio Dionysii,14042200,Apr.22
Opportunae,14042210,Apr.22
"Soteris et Caii Pontif., Martyrum",temp0141,Apr.22
Transl. Simperti,14042320,Apr. 23
Adalberti,14042310,Apr.23
Georgii,14042300,Apr.23
Depositio Ludgeri,14042420,Apr.24
Egberti,14042400,Apr.24
Ivonis,14042410,Apr.24
In Letaniis maj.,08042500,Apr.25
Marci,14042500,Apr.25
BMV de Bono Consilio,14042600,Apr.26
Cleti et Marcellini Pont. Mart.,temp0012,Apr.26
Petri de Rates,14042610,Apr.26
Petri Canisii Conf. et Eccl. Doct.,temp0112,Apr.27
Franchae,14042700,Apr.27
Transl. Lamberti,14042820,Apr.28
Transl. Petri Alcan.,14042810,Apr.28
"Vitalis, Valeriae",14042800,Apr.28
Pauli a Cruce Confessoris,temp0109,Apr.28
"Petri, Mart.",14042900,Apr.29
Roberti,14042910,Apr.29
Catharinae Senensis,14042920,Apr.29
Eutropii,14043010,Apr.30
Oct. Adalberti,14043020,Apr.30
Octava Georgii,14043000,Apr.30
"Vigilia Philippi, Jacobi",14043030,Apr.30
Reguli Silvanecti,14043040,Apr.30
Amatoris,14050130,May.1
Orientii,14050120,May.1
"Philippi, Jacobi",14050100,May.1
Sigismundi,14050140,May.1
Transl. Walburgae,14050150,May.1
"Joseph Opificis, Sponsi B. Mariae Virg. Confes.",temp0067,May.1
Torquati et sociorum,14050160,May 1
Athanasii,14050200,May.2
Elev. Elis. Hung.,14050210,May.2
Wiboradae,14050220,May.2
Mafaldae Reginae,14050230,May.2
Alexandri et sociorum,14050310,May.3
Inventio Crucis,14050300,May.3
Juvenalis,14050320,May.3
Floriani,14050400,May.4
Godehardi,14050410,May.4
Judae Quiriaci,14050420,May.4
Monicae,14050440,May.4
Monicae Viduae,temp0101,May.4
"Vincentii, transl. in Brachara",14050450,May.4
De corona domini,14050430,May.4
Hilarii Arelatensis,14050500,May.5
"Pii V Papae, Confessoris",temp0118,May.5
"Augustini, conv.",14050510,May.5
Joannis Port. Lat.,14050600,May.6
Stanislai Episcopi Cracoviensis,14050710,May.7
Transl. Stephani,14050700,May.7
Appar. Michaelis,14050800,May.8
"Oct. Philippi,Jacobi",14050830,May.8
Victoris Mauri,14050810,May.8
Wironi,14050840,May.8
Petri de Tarentasia,14050820,May.8
Transl. Nicolai,14050900,May.9
"Gregorii Nazianzeni Episcopi, Confessoris et Ecclesiae Doctoris",temp0031,May.9
Transl. Hieronimi,temp0151,May.9
"Gordiani, Epimachi",14051000,May.10
Antonini Episcopi,14051010,May.10
Gangulfi,14051110,May.11
Mamerti,14051100,May.11
Octava Floriani,14051120,May.11
Pancratii et sociorum,14051210,May.12
Rictrudis,14051200,May.12
Subventio Martini,14051220,May.12
Transl. Mauritii,14051230,May.12
"Nerei, Achillei",14051240,May.12
Servatii,14051300,May.13
"Roberti Bellarmino Episcopi, Confessoris et Ecclesiae Doctoris",temp0127,May.13
In dedicatione S. Mariae,14051310,May.13
In dedicatione Basilicae BMV de Martyribus Ulyssipponensis,14051320,May.13
Petri Regalati,14051330,May.13
Coronae,14051420,May.14
Pontii,14051400,May.14
Transl. Udalrici,14051410,May.14
Bonifatii Martyris,temp0007,May.14
Joannis Baptistae de la Salle Conf.,temp0052,May.15
Ruperti Bingensis,14051510,May.15
Translatio Wigberti,14051520,May.15
Ubaldi Episcopi et Confessoris,temp0154,May.16
Transl. Syri,14051700,May.17
Paschalis Baylon,14051720,May.17
"Bernardini Senensis, transl.",14051710,May.17
Erici,14051800,May.18
Venantii Martyris,temp0155,May.18
Dunstani,14051920,May.19
Hadulfi,14051900,May.19
"Pudentianae, Pudentis",14051910,May.19
"Petri Caelestini Papae, Conf.",temp0111,May.19
Ivonis de Kermartin,14051930,May.19
Octava Servatii,14052000,May.20
Bernardini Senensis,14052010,May.20
Eutychii,14052310,May.23
Desiderii Lingon,14052300,May.23
Transl. Dominici,14052400,May.24
Tres Mariae,14052520,May.25
Urbani,14052510,May.25
Zenobii,14052500,May.25
Gregorii VII Papae Confessoris,temp0032,May.25
Transl. Francisci,14052530,May.25
Augustini Cant.,14052610,May.26
Bedae,14052600,May.26
"Eleutherii Papae, Martyris",temp0021,May.26
Philippi Nerii,14052620,May.26
Ragnulfi,14052700,May.27
"Joannis I Papae, Martyris",temp0061,May.27
Carauni,14052810,May.28
Germani Parisien.,14052800,May.28
Maximini,14052900,May.29
Mariae Magdalenae de Pazzis Virg.,temp0079,May.29
"Felicis, Pont.",14053000,May.30
Cantiorum,14053100,May.31
Petronillae,14053110,May.31
Angelae Mericiae,14053120,May.31
Reginae Mariae,14053130,May.31
Mechthildis Diessensis,14053140,May 31
Ordinatio Oswaldi,14060100,Jun.1
"Caprasii, Abb.",14060110,Jun.1
Symeonis Treverensis,14060120,Jun.1
"Marcellini, Petri",14060200,Jun.2
Photini Episc. et soc.,14060210,Jun.2
Erasmi,14060300,Jun.3
Chlotildis Regina,14060310,Jun.3
Francisci Carracciolo,14060400,Jun.4
Quirini,14060410,Jun.4
Bonifacii,14060500,Jun.5
"Norberti Episcopi, Confessoris",temp0105,Jun.6
LOCAL:Transl. Serva.,14060710,Jun.7
Transl. Wulstani,14060700,Jun.7
Medardi,14060800,Jun.8
"Primi, Feliciani",14060900,Jun.9
Landerici,14061000,Jun.10
"Margaritae Reginae Scotiae, Viduae",temp0078,Jun.10
Barnabae,14061100,Jun.11
Basilidis et sociorum,14061200,Jun.12
Eskili,14061220,Jun.12
Victorini Assisiensis,14061210,Jun.12
Joannis a S. Facundo Confessoris,temp0051,Jun.12
Antonii Patavini,14061300,Jun.13
"Basilii, Doct.",14061400,Jun.14
Elisei,14061410,Jun.14
"Constantini, Peregr.",14061540,Jun.15
Eadburgae,14061530,Jun.15
Landelini,14061520,Jun.15
Viti et sociorum,14061500,Jun.15
Cyrici,14061600,Jun.16
Joannis Francisci Regis,14061610,Jun.16
Lutgardae,14061620,Jun.16
Transl. Aichardi,14061700,Jun.17
"Gregorii Barbadici Ep., Conf.",temp0030,Jun.17
Botulphi,14061710,Jun.17
Aviti,14061720,Jun.17
"Marci, Marcellini",14061800,Jun.18
"Ephraem Confessoris, Eccl. Doct.",temp0022,Jun.18
"Gervasii, Protasii",14061900,Jun.19
Julianae de Falconeriis Virginis,14061910,Jun.19
"Georgii, Adalberti",14062000,Jun.20
"Edwardi, Mart., transl.",14062010,Jun.20
"Silverii Papae, Martyris",temp0138,Jun.20
"Albani, Mart.",14062100,Jun.21
Leutfredi,14062110,Jun.21
Aloisii Gonzagae,14062120,Jun.21
Acacii et sociorum,14062220,Jun.22
Octava Viti,14062230,Jun.22
Paulini Nolansis,14062200,Jun.22
Decem Millium Martyrum,14062240,Jun.22
Octava Cyrici,14062310,Jun.23
Vig. Joannis Bapt.,14062300,Jun.23
Joannis Baptistae,14062400,Jun.24
Transl. Eligii,14062500,Jun.25
Transl. Lebuini,14062510,Jun.25
Prosperi,14062520,Jun.25
Gulielmi Abbatis,temp0033,Jun.25
Baboleni,14062610,Jun.26
"Joannis, Pauli",14062600,Jun.26
Vigilii,14062620,Jun.26
Ladislai,14062700,Jun.27
LOCAL:Sept.Dorm.Eph.,14062710,Jun.27
Victoria Pauli,14062720,Jun.27
BMV de Perpetuo Succursu,14062730,Jun.27
Leonis,14062800,Jun.28
Vigilia Petri,14062820,Jun.28
"Vigilia Petri, Pauli",14062810,Jun.28
Petri,14062910,Jun.29
"Petri, Pauli",14062900,Jun.29
"Martialis, Epi.",14063010,Jun.30
Pauli,14063000,Jun.30
Octava Joannis Bapt.,14070100,Jul.1
Pretiosissimi Sanguinis,14070110,Jul.1
"Processi, Martiniani",14070210,Jul.2
Visitatio Mariae,14070200,Jul.2
"Mustiolae, Irenaei",14070310,Jul.3
Transl. Thomae Apost.,14070300,Jul.3
"Irenaei Episcopi, Martyris",temp0044,Jul.3
"Oct. Joannis, Pauli",14070320,Jul.3
Decoll. Antonini,14070410,Jul.4
Transl. Martini,14070400,Jul.4
Udalrici,14070420,Jul.4
Procopii Sázaviensis,14070430,Jul.4
Antonii Mariae Zaccaria,14070500,Jul.5
Goaris,14070610,Jul.6
Octava Apostolorum Petri et Pauli,14070600,Jul.6
Octava Martialis,14070630,Jul.6
Transl. Gudulae,14070620,Jul.6
Joannis de Husinec,14070640,Jul.6
Transl. Servatii,14070720,Jul.7
Transl. Thomae Cant.,14070710,Jul.7
Willibaldi,14070700,Jul.7
Vig. Kiliani et sociorum,14070730,Jul.7
"Cyrilli et Methodii Pont., Conf.",temp0017,Jul.7
"Claudii commentariensis, Symphoriani, Nicostrati et sociorum",14070740,Jul.7
Kiliani et sociorum,14070810,Jul.8
"Martialis, Apost.",14070800,Jul.8
"Oct. Apost, Die 3",14070820,Jul.8
Elisabeth Reginae Portugalliae,14070830,Jul.8
Procopii megalomartyris,14070840,Jul.8
Oct.Visitatio Mariae,14070900,Jul.9
Transl. Justae,14070910,Jul.9
Nicolai Pici et sociorum,14070920,Jul.9
Purissimi cordis de BMV,14070930,Jul.9
"Rufinae, Secundae",14071010,Jul.10
Septem Fratrum,14071000,Jul.10
Octava Udalrici,14071110,Jul.11
Transl. Benedicti,14071100,Jul.11
"Pii I Papae, Martyris",14071120,Jul.11
"Florentii, Episc.",14110710,Nov.7
"Hermagorae,Fortunati",14071200,Jul.12
Joannis Gualberti Abbatis,temp0060,Jul.12
Narboris et Felicis Mart.,temp0102,Jul.12
Henrici Imperatoris,14071300,Jul.13
Mildrithae,14071310,Jul.13
Turiani,14071320,Jul.13
Madelgari,14071400,Jul.14
Vig. Relatio Vedasti,14071410,Jul.14
Bonaventurae,14071420,Jul.14
Divisio Apostolorum,14071510,Jul.15
Relatio Vedasti,14071500,Jul.15
Swithuni,14071520,Jul.15
"Zoerardi, Benedicti",14071600,Jul.16
BMV de Monte Carmelo,14071610,Jul.16
Alexis,14071700,Jul.17
Kenelmi,14071710,Jul.17
Marinae,14071720,Jul.17
Justae et Rufinae,14071730,Jul.17
Triumphi Sanctae Crucis apud Navas Tolosae,14071740,Jul.17
Sperati et socii,14071750,July 17
Arnulfi Metensis,14071810,Jul.18
Octava Tr. Benedicti,14071800,Jul.18
Camilli de Lellis,14071820,Jul.18
Symphorosae cum septem Filiis Mart.,temp0145,Jul.18
"LOCAL:Annae,Zutfania",14071900,Jul.19
Vincentii a Paulo Confessoris,temp0157,Jul.19
Eliae,14072020,Jul.20
Margaritae,14072010,Jul.20
Vulmari,14072000,Jul.20
Hieronymi AEmiliani Confessoris,temp0034,Jul.20
Praxedis,14072100,Jul.21
Victoris et sociorum,14072110,Jul.21
Laurentii de Brundusio Confessoris et Ecclesiae Doctoris,temp0072,Jul.21
Arbogasti Argentoratensis,14072120,Jul.21
Mariae Magdalenae,14072200,Jul.22
Octava Rel. Vedasti,14072210,Jul.22
Wandregisili,14072220,Jul.22
Apollinaris,14072320,Jul.23
Joannis Cassiani,14072310,Jul.23
Liborii,14072300,Jul.23
Transl. Trium Regum,14072330,Jul.23
Christinae,14072400,Jul.24
Vigilia Jacobi,14072410,Jul.24
Christophori,14072510,Jul.25
Cucuphatis,14072530,Jul.25
Jacobi,14072500,Jul.25
"Tr. Germani, Juliani",14072520,Jul.25
Annae,14072610,Jul.26
LOCAL:Tr.Trium Regum,14072620,Jul.26
Tr. Marcelli Paris.,14072600,Jul.26
Pantaleonis,14072700,Jul.27
Sept. Dorm. Eph.,14072710,Jul.27
Transl. Caroli Magni,14072720,Jul.27
Botvidi,14072820,Jul.28
"Nazarii, Celsi",14072800,Jul.28
Samsonis,14072810,Jul.28
Felicis,14072900,Jul.29
Marthae,14072930,Jul.29
Octava Mariae Mag.,14072910,Jul.29
Olavi,14072940,Jul.29
Simplicii et sociorum,14072920,Jul.29
"Abdonis, Sennis",14073000,Jul.30
Germani,14073100,Jul.31
Helenae Schedviensis,14073110,Jul.31
Ignatii Confessoris,14073120,Jul.31
Ethelwoldi,14080130,Aug.1
Fidei et sociorum,14080140,Aug.1
Machabaeorum,14080120,Aug.1
Octava Jacobi,14080110,Aug.1
Vincula Petri,14080100,Aug.1
Felicis Gerundae,14080150,August 1
"Stephani, Pont.",14080200,Aug.2
Alphonsi Mariae de Ligorio,14080210,Aug.2
Inventio Stephani,14080300,Aug.3
Adventus Walburgae,14080410,Aug.4
Dominici,14080430,Aug.4
Tertullini,14080400,Aug.4
Transl. Valentini Epi.,14080420,Aug.4
Epiphanii et Isidori,14080440,August 4
Afrae,14080500,Aug.5
Mariae ad Nives,14080520,Aug.5
"Oswaldi, Reg.",14080510,Aug.5
"Aemigdii, Episc. et Martyr",14080530,Aug.5
"Felicissimi, Agapiti",14080620,Aug.6
Sixti et sociorum,14080610,Aug.6
Transfiguratio Dom.,14080600,Aug.6
"Justi, Pastoris",14080630,Aug.6
Alberti,14080720,Aug.7
Donati,14080700,Aug.7
LOCAL:Afrae,14080710,Aug.7
Cajetani Confessoris,temp0008,Aug.7
Cyriaci et sociorum,14080800,Aug.8
Justini,14080810,Aug.8
Joannis Mariae Vianney Confessoris,temp0063,Aug.8
"Firmi, Rustici",14080920,Aug.9
Romani,14080900,Aug.9
Vigilia Laurentii,14080910,Aug.9
Laurentii,14081000,Aug.10
De Corona Spinea,14081120,Aug.11
Gaugerici,14081110,Aug.11
Taurini,14081130,Aug.11
"Tiburtii, Susannae",14081100,Aug.11
Tiburtii (filius Chromatii),14081140,Aug.11
Clarae,14081200,Aug.12
"Eupli, Leucii",14081210,Aug.12
Hilariae et sociorum,14081230,Aug.12
Octava Afrae,14081220,Aug.12
Hippolyti,14081300,Aug.13
Radegundis,14081310,Aug.13
Wigberti,14081320,Aug.13
Eusebii Romanae,14081400,Aug.14
Vig. Assump. Mariae,14081410,Aug.14
Assumptio Mariae,14081500,Aug.15
Arnulfi,14081600,Aug.16
Die 2 p. Assump.,14081620,Aug.16
Gemmae,14081610,Aug.16
LOCAL:Annae,14081650,Aug.16
Passio Laurentiae,14081630,Aug.16
Rocho,14081640,Aug.16
Joachim Confessoris Patris B. M. V.,temp0046,Aug.16
Aredii Nivernensis,14081660,Aug.16
Die 3 p. Assump.,14081720,Aug.17
Octava Laurentii,14081700,Aug.17
Transl. Justinae,14081710,Aug.17
Hyacinthi,14081670,Aug.16
Mametis,14081730,Aug.17
Agapiti,14081800,Aug.18
Die 4 p. Assump.,14081820,Aug.18
Helenae,14081830,Aug.18
Octava Gaugerici,14081810,Aug.18
Die 5 p. Assump.,14081910,Aug.19
Ludovici Toul.,14081900,Aug.19
Joannis Eudes Confessoris,temp0058,Aug.19
Vig. Stephani Reg.,14081920,Aug.19
Bernardi,14082010,Aug.20
Die 6 p. Assump.,14082020,Aug.20
Philiberti,14082000,Aug.20
"Stephani, Reg.",14082030,Aug.20
Die 7 p. Assump.,14082100,Aug.21
Joannae Franciscae Fremiot de Chantal Viduae,temp0048,Aug.21
Octava Assumptionis,14082210,Aug.22
Symphoriani,14082200,Aug.22
Immaculati Cordis B. M. V.,temp0036,Aug.22
"Timothei, Apollinaris",14082300,Aug.23
Philippi Benitii,14082310,Aug.23
Vigilia Bartholomaei,14082320,Aug.23
Audoeni,14082410,Aug.24
Bartholomaei,14082400,Aug.24
Transl. Candidi,14082420,Aug.24
Aureae Ostiensis,14082430,Aug.24
Genesii,14082530,Aug.25
Hunegundis,14082510,Aug.25
Ludovici,14082500,Aug.25
Octava Agapiti,14082520,Aug.25
"Geruntii Italicensis, Epi.",14082540,Aug.25
Zephyrini Pape Martyris,temp0162,Aug.26
Josephi Calasanctii Confessoris,14082720,Aug.27
Caesarii Arelatensis,14082700,Aug.27
Augustini,14082800,Aug.28
Balbinae,14082850,Aug.28
Hermetis,14082830,Aug.28
Juliani,14082810,Aug.28
"Juliani, Hermetis",14082860,Aug.28
Pelagii,14082840,Aug.28
Rufi,14082820,Aug.28
Decoll. Jo. Bapt.,14082900,Aug.29
Mederici,14082920,Aug.29
Sabinae,14082910,Aug.29
"Felicis, Adaucti",14083000,Aug.30
Rosae a S. Maria Virginis Limanae,temp0129,Aug.30
Bononii,14083010,Aug.30
Cuthburgae,14083120,Aug.31
Octava Bartholomaei,14083130,Aug.31
Paulini,14083110,Aug.31
Transl. Hadulfi,14083100,Aug.31
Raymundi Nonnati Confessoris,temp0125,Aug.31
Aegidii,14090100,Sep.1
Duodecim Fratrum,14090140,Sep.1
"Justi, Epi.",14090150,Sep.1
Lupi,14090110,Sep.1
Prisci,14090120,Sep.1
Verenae,14090130,Sep.1
Isabelle,14090160,Sep.1
Antonini,14090200,Sep.2
Depositio Emerici,14090210,Sep.2
Ordin. Gregorii,14090310,Sep.3
Remacli,14090300,Sep.3
Pii X Papae et Confessoris,temp0119,Sep.3
Marcelli,14090420,Sep.4
Octava Augustini,14090400,Sep.4
Transl. Cuthberti,14090410,Sep.4
Rosaliae,14090430,Sept. 4
"Victorini, Mart.",14090500,Sep.5
"Laurentii Justiniani Episcopi, Conf.",temp0073,Sep.5
Humberti,14090600,Sep.6
Magni,14090610,Sep.6
Chlodoaldi,14090720,Sep.7
Evurtii,14090700,Sep.7
Vigilia Nat. Mariae,14090710,Sep.7
Corbiniani,14090820,Sep.8
LOCAL:Adriani,14090830,Sep.8
Nativitas Mariae,14090800,Sep.8
Transl. Egwini,14090810,Sep.8
Disibodi,14090840,Sep.8
Audomari,14090920,Sep.9
Gorgonii,14090900,Sep.9
Tr. Kunegundis,14090910,Sep.9
Adriani,14091000,Sep.10
Nicolai de Tolentino,14091030,Sep.10
Theodardi,14091010,Sep.10
Salvii,14091020,Sep.10
"Felicis, Regulae",14091110,Sep.11
"Proti, Hiacinthi",14091100,Sep.11
Sanctissimi Nominis BMV,14091200,Sep.12
Maurilii,14091300,Sep.13
Exaltatio Crucis,14091400,Sep.14
Aichardi,14091520,Sep.15
Septem Dolorum BMV,14091550,Sep.15
Nicomedis,14091530,Sep.15
"Nicomedis, Valeriani",14091540,Sep.15
Octava Nat. Mariae,14091510,Sep.15
Reliquiarum,14091500,Sep.15
"Vincentii, transl.",14091560,Sep.15
"Cornelii, Cypriani",14091600,Sep.16
Euphemiae,14091610,Sep.16
"Luciae, Germiniani",14091620,Sep.16
Ludmilae,14091630,Sep.16
Edithae,14091640,Sep.16
Lamberti,14091700,Sep.17
Stig. Francisci,14091710,Sep.17
Hildegardis Bingensis,14091701,Sep.17
Josephi de Cupertino Confessoris,14091800,Sep.18
Januarii,14091900,Sep.19
Materni,14091910,Sep.19
Quattuor Virginum,14091920,Sep.19
Elevatio Amandi,14092000,Sep.20
Eustachii,14092010,Sep.20
Vigilia Matthaei,14092020,Sep.20
Matthaei,14092100,Sep.21
Emmerami,14092210,Sep.22
Mauritii et sociorum,14092200,Sep.22
Thomae de Villanova Episcopi et Confessoris,temp0149,Sep.22
Theclae,14092300,Sep.23
"Lini Papae, Martyris",temp0075,Sep.23
Octava Edithae,14092330,Sep.23
"Clarae, inventio",14092310,Sep.23
Conceptio Jo. Bapt.,14092430,Sep.24
Elevat. Gaugerici,14092400,Sep.24
Gerardi,14092440,Sep.24
Octava Lamberti,14092410,Sep.24
Transl. Ruperti Salisburgii,14092420,Sep.24
Beatae Mariae Virginis de Mercede,temp0003,Sep.24
Cleophae,14092510,Sep.25
Firmini,14092500,Sep.25
"Justinae, Cypriani",14092600,Sep.26
"Cosmae, Damiani",14092700,Sep.27
