feast,feast_code,feast_date
Transl. Stanislai Episcopi,14092710,Sep.27
LOCAL:Hieronimi,14092810,Sep.28
Wenceslai,14092800,Sep.28
Michaelis,14092900,Sep.29
Hieronimi,14093000,Sep.30
Leopardi,14093010,Sep.30
"Germani, Vedasti",14100110,Oct.1
Melori,14100120,Oct.1
Remigii,14100100,Oct.1
Piati,14100130,Oct.1
Bavonis,14100140,Oct.1
Angeli Custodis,14100220,Oct.2
Leodegarii,14100200,Oct.2
Sereni,14100210,Oct.2
Sanctorum Angelorum Custodum,temp0135,Oct.2
"LOCAL:Sulpit.,Sever.",14100310,Oct.3
"Oct. Justinae, Cypr.",14100300,Oct.3
Transl. Ludgeri,14100320,Oct.3
Theresiae a Jesu Infante Virginis,temp0148,Oct.3
In transitu Francisci,14100330,Oct.3
Transl. Clarae,14100340,Oct.3
Aureae,14100410,Oct.4
Francisci,14100400,Oct.4
"Jacobi, miracula",14100420,Oct.4
Transl. Vedasti,14100500,Oct.5
Placidi et sociorum,14100510,Oct.5
Oct. Wenceslai,14100520,Oct.5
Fidis,14100600,Oct.6
Brunonis Abbatis,14100610,Oct.6
"Marcelli, Apuleii",14100710,Oct.7
"Marci, Pont.",14100700,Oct.7
Transl. Wolfgangi,14100720,Oct.7
BMV a Rosario,14100730,Oct.7
Martini abbatis Vallis Paradisi,14100740,October 7
Benedictae,14100810,Oct.8
Birgittae,14100840,Oct.8
Demetrii,14100850,Oct.8
Ragenfredis,14100800,Oct.8
"Sergii, Bacchi",14100820,Oct.8
Transl. Oswaldi,14100830,Oct.8
Iwigii,14100860,Oct.8
Dionysii,14100900,Oct.9
Gisleni,14100910,Oct.9
Patriarcharum,14100930,Oct.9
Richarii,14100920,Oct.9
Joannis Leonardi Confessoris,temp0062,Oct.9
Rustici et Eleutherii Martyrum,temp0131,Oct.9
Gereonis et soc.,14101000,Oct.10
Gratiarum Actionis,14101020,Oct.10
Paulini Ebor.,14101010,Oct.10
Francisci Borgiae,14101030,Oct.10
Nicasii et sociorum,14101130,Oct.11
"Probi, Tarachi",14101110,Oct.11
Transl. Augustini,14101120,Oct.11
Venantii,14101100,Oct.11
Maternitatis B. M. V.,14101150,Oct.11
Canici,14101140,Oct.11
Maximiliani,14101220,Oct.12
Octava Tr. Vedasti,14101210,Oct.12
Opilii,14101200,Oct.12
Wilfridi,14101230,Oct.12
Colomanni,14101320,Oct.13
"Dedic. S.Salv., Mar.",14101340,Oct.13
Donatiani,14101310,Oct.13
Geraldi Aureliaci,14101300,Oct.13
Simperti,14101350,Oct.13
"Edwardi, Conf.",14101330,Oct.13
Callisti,14101400,Oct.14
Burchardi,14101410,Oct.14
Fortunatae et sociorum,14101420,Oct.14
Teresiae Virginis,temp0146,Oct.15
Teresiae Avilensis,14101500,Oct.15
Aureliae Argentoratensis,14101510,Oct.15
Ded.Mont.S.Michaelis,14101630,Oct.16
Galli,14101600,Oct.16
Hedwigis,14101640,Oct.16
Luciani et sociorum,14101620,Oct.16
Octava Dionysii,14101610,Oct.16
Margaritae Mariae Alacoque Virg.,temp0077,Oct.17
Herblandi,14101820,Oct.18
Justi,14101810,Oct.18
Lucae,14101800,Oct.18
Amati,14101900,Oct.19
Januarii et sociorum,14101910,Oct.19
Petri Alcantarae,14101920,Oct.19
"Sabiniani, Potentiani",14101930,Oct.19
Joannis Cantii Confessoris,temp0055,Oct.20
"Caprasii, Mart.",14102000,Oct.20
Irenes,14102010,Oct.20
Hilarionis,14102120,Oct.21
Ursulae,14102110,Oct.21
XI milium Virginum,14102100,Oct.21
"Severi, Epi.",14102200,Oct.22
Mariae Salome,14102210,Oct.22
Octava Galli,14102320,Oct.23
"Severini, Epi.",14102300,Oct.23
Transl. Januarii,14102310,Oct.23
Antonii Mariae Claret,14102330,Oct.23
Joannis Capistranensis,14102340,Oct.23
Sanctissimi Redemptoris,14102350,October 23
"LOCAL:Chrysan,Dariae",14102420,Oct.24
Maglorii,14102400,Oct.24
"Raphaelis, Archang.",14102410,Oct.24
"Crispini,Crispiniani",14102500,Oct.25
Lupi Bajocensis,14102520,Oct.25
Miniatis,14102510,Oct.25
Conversio Afrae,14102610,Oct.26
Ordinatio Amandi,14102600,Oct.26
Evaristi Papae Martyris,temp0024,Oct.26
"Vigilia Simonis, Judae",14102700,Oct.27
"Simonis, Judae",14102800,Oct.28
"Vincenti, Sabinae et Christetae",14102810,Oct. 28.
Adventus Ewaldorum,14102910,Oct.29
Narcissi,14102900,Oct.29
Lucani,14103000,Oct.30
De victoriae christianorum apud Salado,14103010,Oct.30
Babylae Pampilonensis,14103020,Oct.30
Germani Capuanae,14103030,Oct.30
Foliani,14103110,Oct.31
Quintini,14103100,Oct.31
Vig. Om. Sanctorum,14103120,Oct.31
Wolfgangi,14103130,Oct.31
Benigni,14110140,Nov.1
"Caesarii, Juliani",14110130,Nov.1
Omnium Sanctorum,14110100,Nov.1
Ulgani,14110110,Nov.1
Vigoris,14110120,Nov.1
Licinii,14110150,Nov.1
Austremonii,14110160,Nov.1
"Victorini, Floriani, transl.",14110210,Nov.2
Malachiae,14110220,Nov.2
Lauteni,14110200,Nov.2
Transl. Eustachii,14110340,Nov.3
Huberti,14110330,Nov.3
Marcelli Parisiensis,14110310,Nov.3
Pirmini,14110300,Nov.3
Wenaili,14110320,Nov.3
Transl. Edithae,14110350,Nov.3
"Valentini, Hylarii",14110360,Nov.3
Ermengaudi,14110370,Nov.3
Caroli Episcopi Confessoris,temp0010,Nov.4
Vitalis Agricolae Mart.,temp0160,Nov.4
Flori,14110400,Nov.4
Emerici,14110500,Nov.5
Leonardi,14110610,Nov.6
Transl. Adalberti,14110620,Nov.6
Vinoci,14110600,Nov.6
Willibrordi,14110700,Nov.7
Oct. Om. Sanctorum,14110810,Nov.8
Quattuor Coronatorum,14110800,Nov.8
Willehadi,14110820,Nov.8
De Imagine Domini,14110900,Nov.9
In dedicatione archibasilicae S. Salvatoris,14110940,Nov.9
Maturini,14110930,Nov.9
Theodori Tiro,14110910,Nov.9
Vitoni,14110920,Nov.9
Passio Ragnulfi,14110950,Nov.9
Oct. Marcel. Paris.,14111000,Nov.10
Andreae Avellini,14111010,Nov.10
Tryphonis Respicii et Nymphae Virg. Martyrum,temp0153,Nov.10
Vigilia Martini,14111030,Nov.10
Transl. Ludmilae,14111020,Nov.10
Martini,14111100,Nov.11
Mennae,14111110,Nov.11
Cuniberti,14111210,Nov.12
Lebuini,14111200,Nov.12
"Martini, Pont.",14111250,Nov.12
Quinque fratrum,14111230,Nov.12
Aemiliani Cucullati,14111220,Nov.12
Imerii,14111240,Nov.12
Briccii,14111300,Nov.13
Genulfi,14111330,Nov.13
Inventio Antonini,14111310,Nov.13
Maxellendis,14111320,Nov.13
Didaci,14111340,Nov.13
Stanislai Kostkae,14111350,Nov.13
Josaphat Episcopi Martyris,temp0066,Nov.14
Eugenii,14111500,Nov.15
Findani,14111530,Nov.15
Leopoldi,14111520,Nov.15
Maclovii,14111510,Nov.15
Vigilia Othmari,14111540,Nov.15
Alberti Magni,14111550,Nov.15
Othmari,14111600,Nov.16
Agnetis Assisiensis,14111610,Nov.16
Edmundi Archiepiscopi,14111620,Nov.16
Aniani,14111710,Nov.17
Florini,14111720,Nov.17
Gregorii Thauma.,14111700,Nov.17
Gertrudis,14111730,Nov.17
Hugonis Episc. Lincolniensis,14111740,Nov.17
Dedic. Bas. S. Petri,14111820,Nov.18
Octava Martini,14111800,Nov.18
Romani Antiochiae,14111810,Nov.18
Elisabeth Hung.,14111900,Nov.19
"Pontiani, Pont.",14111910,Nov.19
Edmundi,14112000,Nov.20
Felicis Valesius,14112010,Nov.20
Bernwardi Episcopi Hildesheimensis,14112020,Nov.20
Praesentatio Mariae,14112100,Nov.21
Caeciliae,14112200,Nov.22
Clementis,14112300,Nov.23
Columbani,14112330,Nov.23
Felicitatis,14112310,Nov.23
Trudonis,14112320,Nov.23
Clementis Metensis,14112340,Nov.23
Chrysogoni,14112400,Nov.24
Severini,14112410,Nov.24
Joannis a Cruce Confessoris Ecclesiae Doctoris,temp0049,Nov.24
Catharinae,14112500,Nov.25
Conradi,14112620,Nov.26
Lini,14112600,Nov.26
Mirac. Genovefae,14112610,Nov.26
Petri Alexandrini Ep. Mart.,14112640,Nov.26
Silvestri Abbatis,temp0139,Nov.26
Leonardi a Portu Mauritio,14112630,Nov.26
BMV Immaculatae a Sacro Numismate,14112700,Nov.27
"Chrysanthi, Dariae",14112910,Nov.29
Saturnini,14112900,Nov.29
Vigilia Andreae,14112920,Nov.29
Andreae,14113000,Nov.30
Eligii,14120100,Dec.1
Candidi,14120110,Dec.1
Bibianae Virginis et Martyris,temp0005,Dec.2
Francisci Xaverii,14120300,Dec.3
Attalae,14120310,Dec.3
Barbarae,14120400,Dec.4
Suscept. Reliquiarum,14120410,Dec.4
"Petri Chrysologi Episc., Conf. Et Ecclesiae Doctoris",temp0113,Dec.4
Sabae,14120500,Dec.5
Geraldi Archiepiscopi Bracharensis,14120510,Dec.5
Nicolai,14120600,Dec.6
Octava Saturnini,14120610,Dec.6
Octava Andreae,14120710,Dec.7
Transl. Baboleni,14120720,Dec.7
Victoris,14120700,Dec.7
Conceptio Mariae,14120800,Dec.8
Eucharii,14120810,Dec.8
Ordinatio Zenonis,14120820,Dec.8
Syri,14120900,Dec.9
Transl. Patrocli,14120901,Dec.9
Leocadiae,14120920,Dec.9
Gabrielis,14121000,Dec.10
Melchiadis Papae et Martyris,temp0082,Dec.10
Eulaliae Emeritensis,14121010,Dec.10
Damasi,14121100,Dec.11
"Fusciani, Gentiani",14121110,Dec.11
Valeriae,14121200,Dec.12
BMV de Guadalupe,14121210,Dec.12
Inventio Francisci,14121220,Dec.12
Auberti,14121310,Dec.13
Eustratii et sociorum,14121350,Dec.13
Judoci,14121330,Dec.13
Luciae,14121300,Dec.13
Octava Nicolai,14121320,Dec.13
Odiliae,14121340,Dec.13
Nicasii,14121400,Dec.14
Relatio Martini,14121410,Dec.14
Octava Concep.Mariae,14121500,Dec.15
Adalheidae,14121600,Dec.16
Eusebii Episcopi,14121610,Dec.16
Lazari,14121700,Dec.17
Gatiani,14121800,Dec.18
Exspectationis BMV,14121810,Dec.18
Wunnibaldi,14121820,Dec.18
Vigilia Thomae Apost.,14122000,Dec.20
Dominici Silensis,14122010,Dec.20
Die 5 a. Nat. Domini,02122100,Dec.21
Thomae Apost.,14122100,Dec.21
Die 3 a. Nat. Domini,02122300,Dec.23
"Victoriae, Anatoliae",14122300,Dec.23
"Gregorii, Mart.",14122400,Dec.24
Vigilia Nat. Domini,02122400,Dec.24
Nativitas Domini,02122500,Dec.25
Stephani,02122600,Dec.26
Joannis Evang.,02122700,Dec.27
Eugeniae,14122700,December 27
Nat. Innocentium,02122800,Dec.28
Die 5 p. Nat. Domini,02122900,Dec.29
Thomae Cant.,14122900,Dec.29
Trophimi,14122910,Dec.29
Transl. Jacobi,14123020,Dec.30
Die 6 p. Nat. Domini,02123000,Dec.30
Egwini,14123000,Dec.30
Perpetui,14123010,Dec.30
Columbae,14123110,Dec.31
Die 7 p. Nat. Domini,02123100,Dec.31
Silvestri,14123100,Dec.31
