s_part,n_source_edges,f_part_490,f_part_952,f_part_773,f_part_1101,f_part_657,f_part_763,f_part_476,f_part_1006,f_part_899,f_part_839,f_part_1058,f_part_703,f_part_1169,f_part_725,f_part_888
37,1910,0.11989528795811519,0.4518324607329843,0.32094240837696336,0.0005235602094240838,0.04869109947643979,0.009947643979057591,0.0036649214659685864,0.03507853403141361,0.0020942408376963353,0.0,0.0,0.004188481675392671,0.002617801047120419,0.0005235602094240838,0.0
356,764,0.007853403141361256,0.002617801047120419,0.0,0.15968586387434555,0.1662303664921466,0.21465968586387435,0.12827225130890052,0.005235602094240838,0.24738219895287958,0.0,0.0,0.03534031413612566,0.002617801047120419,0.002617801047120419,0.0274869109947644
116,4436,0.07596934174932371,0.18778178539224527,0.11632100991884581,0.033588818755635706,0.15419296663660956,0.1424706943192065,0.12826871055004507,0.023669972948602343,0.020739404869251576,0.0,0.0,0.06988277727682597,0.004283137962128043,0.033588818755635706,0.009242560865644725
21,4996,0.07626100880704563,0.23618895116092875,0.133306645316253,0.010408326661329063,0.08266613290632506,0.17053642914331466,0.13650920736589273,0.022618094475580466,0.005404323458767014,0.0,0.0,0.10408326661329063,0.0034027221777421937,0.00300240192153723,0.015612489991993595
86,938,0.009594882729211088,0.0,0.04371002132196162,0.042643923240938165,0.3752665245202559,0.31236673773987206,0.04371002132196162,0.0,0.013859275053304905,0.0,0.0,0.1300639658848614,0.0010660980810234541,0.0031982942430703624,0.024520255863539446
73,1791,0.057509771077610274,0.35510887772194305,0.1836962590731435,0.002233389168062535,0.03740926856504746,0.029034059184812954,0.1541038525963149,0.09212730318257957,0.0005583472920156337,0.0,0.0,0.024567280848687884,0.0011166945840312675,0.05360134003350084,0.00893355667225014
65,919,0.2132752992383025,0.031556039173014146,0.002176278563656148,0.03264417845484222,0.26550598476605003,0.36235038084874865,0.001088139281828074,0.006528835690968444,0.02176278563656148,0.0,0.025027203482045703,0.026115342763873776,0.01088139281828074,0.001088139281828074,0.0
24,935,0.058823529411764705,0.1572192513368984,0.020320855614973262,0.029946524064171122,0.08877005347593583,0.09946524064171124,0.08128342245989305,0.05026737967914439,0.028877005347593583,0.0,0.21176470588235294,0.031016042780748664,0.0032085561497326204,0.0032085561497326204,0.1358288770053476
141,871,0.06659012629161883,0.2743972445464983,0.011481056257175661,0.02525832376578645,0.1010332950631458,0.24339839265212398,0.20436280137772675,0.012629161882893225,0.003444316877152698,0.0,0.0,0.0057405281285878304,0.004592422502870264,0.0,0.04707233065442021
321,8882,0.054154469714028375,0.17845079936951136,0.004165728439540644,0.018013960819635216,0.00889439315469489,0.10605719432560234,0.11326277865345642,0.2129024994370637,0.18036478270659762,0.0,0.0,0.0015762215717180816,0.00045034902049088043,0.00022517451024544022,0.12148164827741499
132,1165,0.0034334763948497852,0.002575107296137339,0.002575107296137339,0.03175965665236052,0.17253218884120172,0.19313304721030042,0.3236051502145923,0.002575107296137339,0.008583690987124463,0.0,0.0,0.1296137339055794,0.006008583690987125,0.08326180257510729,0.04034334763948498
383,1358,0.05817378497790869,0.3807069219440353,0.011782032400589101,0.0029455081001472753,0.016200294550810016,0.041237113402061855,0.10309278350515463,0.3483063328424153,0.03240058910162003,0.0,0.0,0.0007363770250368188,0.003681885125184094,0.0,0.0007363770250368188
353,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
229,2617,0.07489491784486053,0.16622086358425678,0.0038211692777990066,0.08979747802827666,0.04776461597248758,0.13526939243408484,0.10126098586167367,0.176920137562094,0.19296904852884983,0.0,0.0,0.0026748184944593045,0.003056935422239205,0.0,0.005349636988918609
434,8245,0.06622195269860522,0.15148574893875075,0.003395997574287447,0.0761673741661613,0.054942389326864766,0.11534263189812008,0.10309278350515463,0.16337174044875682,0.16228016979987872,0.0,0.0,0.0016979987871437235,0.002304426925409339,0.00012128562765312311,0.09957550030321406
390,933,0.00857449088960343,0.2433011789924973,0.0010718113612004287,0.003215434083601286,0.012861736334405145,0.013933547695605574,0.18756698821007503,0.2797427652733119,0.01822079314040729,0.0,0.003215434083601286,0.0010718113612004287,0.003215434083601286,0.0021436227224008574,0.22186495176848875
418,380,0.034210526315789476,0.19473684210526315,0.018421052631578946,0.06842105263157895,0.015789473684210527,0.07631578947368421,0.0868421052631579,0.11842105263157894,0.03684210526315789,0.0,0.0,0.010526315789473684,0.3236842105263158,0.015789473684210527,0.0
,,2701.0,8019.0,2298.0,1541.0,3049.0,5220.0,4774.0,5001.0,3906.0,120.0,224.0,1281.0,232.0,378.0,2516.0
