s_part,n_source_edges,f_part_719,f_part_736,f_part_634,f_part_465,f_part_748,f_part_1092,f_part_774,f_part_971,f_part_981,f_part_1131,f_part_794,f_part_1010,f_part_1158,f_part_1172
25,1890,0.1328042328042328,0.4238095238095238,0.34074074074074073,0.0,0.0021164021164021165,0.04867724867724868,0.003703703703703704,0.025396825396825397,0.0021164021164021165,0.0,0.0,0.008994708994708995,0.0026455026455026454,0.008994708994708995
435,1204,0.05813953488372093,0.014950166112956811,0.0,0.14534883720930233,0.1852159468438538,0.12790697674418605,0.10880398671096346,0.0,0.22508305647840532,0.0,0.0,0.10548172757475083,0.0049833887043189366,0.02408637873754153
185,9243,0.09174510440333225,0.20512820512820512,0.13015254787406685,0.020664286487071297,0.14995131450827653,0.11154387103754192,0.12896245807638212,0.021637996321540624,0.012550037866493563,0.0,0.0,0.019906956615817376,0.0030293194850156877,0.10472790219625662
125,1535,0.020195439739413682,0.0013029315960912053,0.023452768729641693,0.040390879478827364,0.27231270358306187,0.23713355048859935,0.16026058631921825,0.0,0.009120521172638436,0.0,0.0,0.04429967426710098,0.0,0.19153094462540718
414,1695,0.071976401179941,0.3256637168141593,0.20176991150442478,0.0017699115044247787,0.02182890855457227,0.04247787610619469,0.15752212389380532,0.08023598820058997,0.0005899705014749262,0.0,0.0,0.01710914454277286,0.0005899705014749262,0.07846607669616519
17,618,0.003236245954692557,0.4627831715210356,0.06634304207119741,0.0,0.0,0.0,0.06310679611650485,0.38673139158576053,0.0,0.0,0.008090614886731391,0.009708737864077669,0.0,0.0
131,1131,0.20159151193633953,0.02475685234305924,0.0017683465959328027,0.029177718832891247,0.3306808134394341,0.3244916003536693,0.0008841732979664014,0.0,0.020335985853227233,0.0,0.016799292661361626,0.014146772767462422,0.009725906277630416,0.02564102564102564
246,928,0.09698275862068965,0.14547413793103448,0.020474137931034482,0.028017241379310345,0.07866379310344827,0.08189655172413793,0.07758620689655173,0.0334051724137931,0.03125,0.0,0.2122844827586207,0.16163793103448276,0.004310344827586207,0.028017241379310345
267,1061,0.08105560791705937,0.2884071630537229,0.013195098963242224,0.015080113100848256,0.1988689915174364,0.09613572101790764,0.19698397737983034,0.00471253534401508,0.002827521206409048,0.0,0.0,0.08011310084825636,0.002827521206409048,0.019792648444863337
68,8044,0.06277971158627549,0.1713078070611636,0.0072103431128791645,0.0139234211834908,0.09075087021382397,0.0055942317255096964,0.10181501740427648,0.18150174042764794,0.1832421680755843,0.0,0.0,0.1790154152163103,0.0006215813028344107,0.0022376926902038788
248,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
152,255,0.0,0.00392156862745098,0.0,0.0,0.0196078431372549,0.023529411764705882,0.5176470588235295,0.0,0.0,0.0,0.0,0.13725490196078433,0.027450980392156862,0.27058823529411763
192,10686,0.08235073928504585,0.15403331461725622,0.004772599663110612,0.07121467340445442,0.10125397716638593,0.049316863185476324,0.09386112670784204,0.1452367583754445,0.15571776155717762,0.0,0.0,0.13831180984465655,0.002058768482126146,0.0018716077110237693
258,2474,0.05982215036378335,0.2712206952303961,0.00444624090541633,0.009700889248181084,0.041228779304769606,0.01818916734033953,0.13419563459983833,0.24737267582861763,0.017380759902991108,0.0,0.0012126111560226355,0.19361358124494746,0.0,0.0016168148746968471
59,376,0.05053191489361702,0.19946808510638298,0.018617021276595744,0.061170212765957445,0.05851063829787234,0.013297872340425532,0.08776595744680851,0.11702127659574468,0.04521276595744681,0.0,0.0,0.005319148936170213,0.3191489361702128,0.023936170212765957
,,3280.0,7795.0,2428.0,1426.0,4667.0,2886.0,4483.0,4327.0,3659.0,120.0,224.0,4116.0,212.0,1637.0
