siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
CH-SGs Cod 484,1110,5,8,2,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,0,0,0,0,0
F-Pn NAL 495,1110,5,8,2,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,0,0,0,0,0
F-Pn Lat. 1133,1110,5,8,2,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,0,0,0,0,0
CZ-PLm 501 A 001,1110,5,8,2,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,0,0,0,0,0
CZ-Pn XII B 17,1110,5,8,2,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,0,0,0,0,0
CZ-Pu 39 D 7,1110,5,8,2,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,0,0,0,0,0
F-Collection privée Mont-Renaud,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-SOM Ms 0252,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
GB-Lbl Egerton 857,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
V-CVbav Vat. lat. 5319,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
CH-SGs Cod 338,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
CZ-Pn XIV D 12,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-AUT Ms S 0012 (11),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
V-CVbav Ross.0076,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
B-Br Ms II 3823,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
CH-E Codex 121,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-AI Ms 0044,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-CA Ms 0061 (62),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-CHRm Ms 0047 (40),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-Pn Lat. 12050,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
GB-Lbl Harley 4951,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
I-BV 34,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-Pn Lat. 12584,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
E-Bbc Ms. 1805,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
I-BGc MA 150 (Psi III.8),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
I-Bc Q 09,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-Pn Lat. 1087,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
I-Tn G.V.20,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
E-Mh Cód. 51,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-G Ms 84 (Ms. 395 Rés.),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-NS Ms 0004,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-Pn NAL 1669,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
V-CVbav Archivio di San Pietro F.22,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-AN Ms 0091,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
D-B Ms mus 40078,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
D-Ful Aa 0006,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
E-Bbc M 648,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-LA Ms 239,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
CH-SGs Cod 340,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
CH-SGv VadSlg Ms 0295,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
D-BAa Msc Lit 6,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
D-Mbs Clm 03005,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-AUT Ms S 0010 (8*),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-CA Ms 0075 (76),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-LA Ms 118,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-LA Ms 236,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-Pm Ms 0384,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-Pn Lat. 2291,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
FIN-Hy F.m.I.26,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
I-BGc MA 239 (Gamma III.18),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
F-AS Ms 0437 (cat. 1011),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
CH-SGs Cod 381,801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
Reconstitution Sacramentaire de Tours (TU1),801,3,8,2,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,0
P-EVpc 000,104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
E-MO Ms. 72,104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
US-NYcubl MS 1,104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
E-Tc Ms. 33.4,104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
P-Cua Cofre 27,104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
D-Mbs Clm 4304,104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [16] XVI,104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.4 (rkp. Perg. 20),104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [17] XVII,104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
CZ-Pn XVI A 16,104,44,8,2,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0
