siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1011,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1015,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
A-Wda C-11,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
CH-SGs 390,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
D-KNd 1161,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
D-MZb A,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
I-MC 542,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
I-VCd CLXX,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
PL-STAb ms. 1,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
V-CVbav Cappella Sistina 27,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
I-BV V 19,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [01] I,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17991,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [15] XV,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
P-Cua Cofre 27,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 9449,209,8,3,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
