network_1,network_2,edges_1,edges_2,shared_edges,edge_overlap_0.2,edge_overlap_0.3,edge_overlap_0.4,edge_overlap_0.5,edge_overlap_0.6,edge_overlap_0.7,edge_overlap_0.8,num_partitions_1,num_partitions_2,n_shared_nodes,adjusted_rand_index,normalized_mutual_info
Dom. 1 Adventus,Dom. 2 Adventus,1258,2083,877,0.8531630378878793,0.7718159806295399,0.7023534840793724,0.6753246753246753,0.6046339202965709,0.5436273350673918,0.3559253246753247,9,10,236,0.6814692128236421,0.6647439407243644
Dom. 1 Adventus,Dom. 3 Adventus,1258,1212,579,0.7833117723156533,0.7258273248289887,0.6542332093633778,0.6194070820752128,0.5559824368825467,0.4475222363405337,0.3061872025383395,9,8,238,0.7131803963041436,0.6605254137532991
Dom. 1 Adventus,Dom. 4 Adventus,1258,323,142,0.6065277882229074,0.49095990916237225,0.3535162759693367,0.2577477753912243,0.17368892873151054,0.11388888888888889,0.09867963863794302,8,7,225,0.659428770254063,0.6436548143901915
Dom. 2 Adventus,Dom. 3 Adventus,2083,1212,791,0.8263053862625597,0.7825475677195614,0.74685110211426,0.7255449972051425,0.6322854115153655,0.4720410065237651,0.31589456869009586,11,7,238,0.6844672599683833,0.699504294541495
Dom. 2 Adventus,Dom. 4 Adventus,2083,323,179,0.6470633338445024,0.5144770019998262,0.37869498576746224,0.278614237684549,0.1631619937694704,0.10701203558346416,0.08037718904355635,10,7,228,0.675852962038273,0.6797464796669653
Dom. 3 Adventus,Dom. 4 Adventus,1212,323,189,0.6889882099098404,0.5603297088740793,0.3917525773195876,0.27210216110019647,0.17901984609153504,0.1296111665004985,0.14041604754829123,8,6,236,0.8276787969348509,0.7700183817963395
