source_partition,f_p_669,f_p_504,f_p_738,f_p_561,f_p_877,f_p_791,f_p_765,f_p_387,f_p_555,f_p_972,f_p_1143,f_p_850,f_p_548,f_p_465,f_p_691,f_p_964,f_p_493,f_p_1171,f_p_1121,f_p_851,f_p_1114,f_p_590,f_p_1118,f_p_1163
8,0.168,0.356,0.256,0.03,0.311,0.149,0.181,0.216,0.0,0.001,0.225,0.014,0.007,0.016,0.024,0.285,0.0,0.013,0.049,0.158,0.018,0.082,0.158,0.193
51,0.168,0.01,0.0,0.084,0.121,0.013,0.007,0.299,0.0,0.0,0.15,0.033,0.03,0.012,0.027,0.0,0.0,0.024,0.025,0.131,0.035,0.063,0.173,0.23
1,0.355,0.423,0.277,0.179,0.47,0.26,0.248,0.482,0.0,0.002,0.446,0.058,0.062,0.042,0.06,0.368,0.0,0.009,0.047,0.346,0.045,0.174,0.469,0.538
34,0.017,0.172,0.119,0.0,0.071,0.108,0.1,0.0,0.0,0.0,0.103,0.023,0.001,0.0,0.005,0.124,0.0,0.002,0.013,0.059,0.0,0.011,0.052,0.077
28,0.132,0.531,0.023,0.246,0.545,0.004,0.06,0.489,0.0,0.002,0.431,0.0,0.009,0.015,0.024,0.498,0.0,0.277,0.387,0.362,0.457,0.006,0.008,0.612
25,0.102,0.103,0.079,0.03,0.118,0.04,0.044,0.115,0.0,0.0,0.099,0.016,0.016,0.0,0.017,0.095,0.0,0.009,0.0,0.075,0.003,0.037,0.091,0.125
3,0.278,0.39,0.02,0.232,0.407,0.0,0.043,0.401,0.0,0.001,0.333,0.005,0.023,0.059,0.049,0.32,0.0,0.221,0.275,0.292,0.266,0.013,0.026,0.211
55,0.055,0.245,0.0,0.004,0.152,0.002,0.037,0.029,0.0,0.0,0.168,0.011,0.001,0.0,0.011,0.199,0.0,0.043,0.133,0.149,0.002,0.019,0.024,0.181
