network_1,network_2,edges_1_whole_day,edges_2_whole_day,shared_edges_whole_day,edge_overlap_0.0_whole_day,edge_overlap_0.2_whole_day,edge_overlap_0.3_whole_day,edge_overlap_0.4_whole_day,edge_overlap_0.5_whole_day,edge_overlap_0.6_whole_day,edge_overlap_0.7_whole_day,edge_overlap_0.8_whole_day,edges_1_L,edges_2_L,shared_edges_L,edge_overlap_0.0_L,edge_overlap_0.2_L,edge_overlap_0.3_L,edge_overlap_0.4_L,edge_overlap_0.5_L,edge_overlap_0.6_L,edge_overlap_0.7_L,edge_overlap_0.8_L,edges_1_V,edges_2_V,shared_edges_V,edge_overlap_0.0_V,edge_overlap_0.2_V,edge_overlap_0.3_V,edge_overlap_0.4_V,edge_overlap_0.5_V,edge_overlap_0.6_V,edge_overlap_0.7_V,edge_overlap_0.8_V,edges_1_V2,edges_2_V2,shared_edges_V2,edge_overlap_0.0_V2,edge_overlap_0.2_V2,edge_overlap_0.3_V2,edge_overlap_0.4_V2,edge_overlap_0.5_V2,edge_overlap_0.6_V2,edge_overlap_0.7_V2,edge_overlap_0.8_V2,edges_1_M,edges_2_M,shared_edges_M,edge_overlap_0.0_M,edge_overlap_0.2_M,edge_overlap_0.3_M,edge_overlap_0.4_M,edge_overlap_0.5_M,edge_overlap_0.6_M,edge_overlap_0.7_M,edge_overlap_0.8_M
Dom. 1 Adventus,Dom. 2 Adventus,1420,2248,970,0.8869710826302569,0.857683811928053,0.7765124555160142,0.7106373997467286,0.6836382922301777,0.6115869017632242,0.5429980699120738,0.35952557449962935,350,639,79,0.8527899447724243,0.828515111695138,0.8122897510652612,0.7342093130474873,0.5862837335974251,0.37700706486833657,0.19424083769633507,0.08681318681318681,34,33,0,0.2336919203479057,0.1656027037176117,0.09624413145539906,0.0584045584045584,0.04246284501061571,0.015625,0.010526315789473684,0.0,41,195,4,0.4724208375893769,0.3264686022957461,0.1902964959568733,0.12727272727272726,0.09895833333333333,0.05357142857142857,0.01606425702811245,0.017241379310344827,35,62,12,0.7832610870290097,0.7725204731574158,0.5737898465171193,0.3897310513447433,0.3466933867735471,0.34438775510204084,0.3157894736842105,0.1411764705882353
Dom. 1 Adventus,Dom. 3 Adventus,1420,1324,621,0.8267236119585113,0.7907740538926625,0.732352440891308,0.6626542281071321,0.6283606352382143,0.5595632031767042,0.44233843343229046,0.2925105982100801,350,1170,110,0.7894279255781603,0.7814412635735439,0.7802509105625253,0.7132794696498861,0.6135076252723312,0.38420382165605094,0.18805545680767863,0.07801418439716312,34,44,0,0.3535990239934933,0.24026969046889365,0.124375,0.07322654462242563,0.041736227045075125,0.023696682464454975,0.008849557522123894,0.0,41,92,2,0.35315886862278617,0.22910764872521247,0.12020138451856513,0.07809110629067245,0.06821480406386067,0.05714285714285714,0.013245033112582781,0.015267175572519083,35,65,12,0.7110875813038875,0.6885146103896104,0.520750726936294,0.34538653366583544,0.29310344827586204,0.2824742268041237,0.25,0.13636363636363635
Dom. 1 Adventus,Dom. 4 Adventus,1420,343,156,0.6689624527882693,0.6143563322425677,0.49584442830630193,0.3527246702791126,0.25353690993136296,0.16748166259168704,0.11004243281471005,0.0970752955818295,350,781,84,0.69740543919975,0.7146652497343252,0.7111070911722142,0.6502803738317757,0.5480885311871228,0.34123739438539114,0.189873417721519,0.08022922636103152,34,37,0,0.15181447283659008,0.118734447209385,0.07218045112781955,0.03361344537815126,0.028112449799196786,0.005494505494505495,0.010752688172043012,0.0,41,40,0,0.08442669709070165,0.07372481783111873,0.0322061191626409,0.018309859154929577,0.013779527559055118,0.023255813953488372,0.02040816326530612,0.0,35,97,17,0.6462079221305935,0.6121446121446121,0.40673860383175514,0.3148614609571788,0.31312217194570136,0.2876984126984127,0.2605042016806723,0.14782608695652175
Dom. 1 Adventus,Nativitas Domini,1420,1351,509,0.5046132008516678,0.5538582060321191,0.5051033591731267,0.4403844560444113,0.40671049648605756,0.3673731535003211,0.2944127708095781,0.22502210433244915,350,121,9,0.5596387808854886,0.5180475799835931,0.4816964285714286,0.34933333333333333,0.22122081114297418,0.11118399475237783,0.046897546897546896,0.01948051948051948,34,23,1,0.22414127692606248,0.10181559273762905,0.05983545250560957,0.02586206896551724,0.012077294685990338,0.0056179775280898875,0.011363636363636364,0.017857142857142856,41,121,1,0.4001435750179469,0.22638494318181818,0.13029661016949154,0.08230790265244736,0.05465116279069768,0.02382782475019216,0.01953125,0.006211180124223602,35,51,12,0.5083384177343909,0.4676931536981028,0.35235401763433705,0.22706964520367937,0.1535219747140277,0.16815742397137745,0.2727272727272727,0.16216216216216217
Dom. 1 Adventus,Vigilia Nat. Domini,1420,1646,652,0.6441630014307668,0.634628885059672,0.563111723337925,0.4840518752190677,0.4728769595128003,0.4262416604892513,0.3312418866291649,0.27009113504556753,350,104,12,0.6532618409294012,0.630035395246924,0.5737823646568894,0.4014937424303593,0.2222222222222222,0.09505106048703849,0.05476190476190476,0.027149321266968326,34,78,0,0.13627679898110803,0.0968096809680968,0.04607250755287009,0.03234501347708895,0.02462121212121212,0.0,0.0,0.0,41,40,0,0.1276908023483366,0.06449044585987261,0.041025641025641026,0.0345252774352651,0.0425531914893617,0.04975124378109453,0.017857142857142856,0.0,35,50,8,0.6448174793498535,0.549633339295296,0.36845714285714287,0.2056936647955092,0.15301530153015303,0.16981132075471697,0.20430107526881722,0.1038961038961039
Dom. 2 Adventus,Dom. 3 Adventus,2248,1324,842,0.8739731261542381,0.8323203160613889,0.788813969571231,0.7558428128231645,0.7349980889285259,0.6332483264265222,0.4716467880309688,0.30842490842490844,639,1170,304,0.8059484947406601,0.7825557809330629,0.7749587458745875,0.7242902208201892,0.6120746432491767,0.43926443926443925,0.2892768079800499,0.2019933554817276,33,44,1,0.2623587570621469,0.1938305709023941,0.11405835543766578,0.09076433121019108,0.07551020408163266,0.09740259740259741,0.0625,0.013157894736842105,195,92,10,0.4991049051199427,0.39964633068081346,0.2351421188630491,0.14727085478887744,0.13154960981047936,0.06042296072507553,0.03571428571428571,0.036101083032490974,62,65,26,0.7947350883038987,0.7824568611339359,0.6360471344402785,0.45518672199170124,0.4087403598971722,0.38414634146341464,0.358974358974359,0.25742574257425743
Dom. 2 Adventus,Dom. 4 Adventus,2248,343,193,0.7121739130434782,0.6535215263493864,0.5168476075593084,0.37657748611812214,0.2719882729211087,0.15742049469964664,0.10211351222987414,0.0804837364470392,639,781,168,0.7167318982387475,0.741519174041298,0.7284088789404962,0.6675552170601675,0.5459886547811994,0.3532725321888412,0.2708247845711941,0.134185303514377,33,37,1,0.18668746749869994,0.12941961307538358,0.0910209102091021,0.06593406593406594,0.0641025641025641,0.030303030303030304,0.012345679012345678,0.014492753623188406,195,40,0,0.08753315649867374,0.0705596107055961,0.030612244897959183,0.023058252427184466,0.02056555269922879,0.019011406844106463,0.0,0.0,62,97,33,0.7319541598452151,0.7100358422939068,0.506029477445288,0.4,0.4015817223198594,0.3937007874015748,0.33070866141732286,0.2619047619047619
Dom. 2 Adventus,Nativitas Domini,2248,1351,709,0.5026261099565463,0.5517049563330922,0.4992067017833344,0.45196310505264875,0.42813220599538815,0.3917126248323148,0.3081645181092695,0.2453287197231834,639,121,23,0.5340347319051845,0.489787525702536,0.46233338325595325,0.3404042091197595,0.2210722417718899,0.10544538873150772,0.05365853658536585,0.031207598371777476,33,23,0,0.1197500867754252,0.09839357429718876,0.05402160864345738,0.042986425339366516,0.03536977491961415,0.007633587786259542,0.013157894736842105,0.0,195,121,7,0.2894736842105263,0.21004398826979473,0.13824692900270663,0.08284652150823155,0.07142857142857142,0.02446043165467626,0.023291925465838508,0.022653721682847898,62,51,12,0.4782293929051608,0.49242424242424243,0.3643672616176234,0.230750062297533,0.1368653421633554,0.14838709677419354,0.23214285714285715,0.1188118811881188
Dom. 2 Adventus,Vigilia Nat. Domini,2248,1646,817,0.6617110493928008,0.6445594530700913,0.5755219582433405,0.5223880597014925,0.5132978723404256,0.4625297660736798,0.34917517674783977,0.265518362040949,639,104,22,0.6523941068139963,0.6274577440496723,0.5663472171028382,0.40474243663123466,0.22859327217125383,0.11060259344012205,0.07352941176470588,0.030513176144244106,33,78,1,0.14523449319213314,0.11376811594202899,0.07224334600760456,0.053388090349075976,0.04470588235294118,0.03636363636363636,0.008264462809917356,0.00909090909090909,195,40,1,0.12305343511450381,0.06856111862877763,0.050033806626098715,0.04013015184381779,0.036755386565272496,0.02711864406779661,0.008032128514056224,0.004273504273504274,62,50,10,0.6121808002184896,0.5894273127753304,0.39284145805884935,0.2422289613343442,0.17091207888249796,0.17834394904458598,0.18018018018018017,0.09803921568627451
Dom. 3 Adventus,Dom. 4 Adventus,1324,343,192,0.7680904669830667,0.693590931774435,0.5597570850202429,0.3869625520110957,0.26509421868991156,0.1721477126584604,0.12198031613480466,0.13016949152542373,1170,781,206,0.7776530939403655,0.8250676284941388,0.826715462031107,0.7856471914334022,0.7041864139020537,0.4717070851165002,0.2937149968886123,0.1180515759312321,44,37,0,0.2288781163434903,0.17207647843485993,0.10775862068965517,0.06750392464678179,0.055876685934489405,0.03289473684210526,0.0,0.0,92,40,0,0.09292035398230089,0.07398273736128237,0.05005324813631523,0.030828516377649325,0.03260869565217391,0.01764705882352941,0.0,0.0,65,97,36,0.8425563909774436,0.8152487382840663,0.59541304831886,0.4194392523364486,0.407556270096463,0.44945848375451264,0.3680297397769517,0.2857142857142857
