siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
A-KN CCl 1010,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
A-KN CCl 1011,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
A-KN CCl 1015,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
A-KN CCl 1017,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
CH-SGs 390,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
CZ-Pn XII A 24,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
D-KNd 1161,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
D-MZb A,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [01] I,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
"E-BAR, s.s.",1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
E-Bbc Ms. 2545,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
E-H Ms. 7 (ant. 5),1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
E-VI Mss. 113-114,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
F-Pn Lat. 17991,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
H-Bu lat. 118,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
I-BV V 19,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
I-VCd CLXX,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
PL-GD Mar. F 408,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
PL-STAb ms. 1,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
V-CVbav Cappella Sistina 27,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
A-Wda C-11,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
I-MC 542,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [04] IV,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
PL-STAb ms. 2,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
"E-TZ, Ms. 18",1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [15] XV,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [05] V,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
E-SA 5,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
D-Dl Mscr.Dresd.A.0122,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
CZ-Pak P VII,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
GB-Lbl Additional 18031,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
F-O Ms 121,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
E-Mn MSS/10110,1099,28,2,2,0,0,0,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
SK-Sk 2,1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
D-W Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
SI-Lna 19 (olim 18),1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
F-Pn Latin 15182,1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.1 (rkp. Perg. 12),1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
SK-Bra BAI ECLad.3,1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
F-Pn Lat. 1030,1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
CZ-R R 17,1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
D-MZb D,1588,28,2,2,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,0,0,0,0,0
