s_part,n_source_edges,f_part_590,f_part_1342,f_part_559,f_part_1622,f_part_511,f_part_623,f_part_679,f_part_1497,f_part_845,f_part_1459,f_part_1098,f_part_828,f_part_1613,f_part_1491,f_part_1208,f_part_594,f_part_1652,f_part_552,f_part_1376,f_part_1571
2,2459,0.04758031720211468,0.011386742578283855,0.28588857259048395,0.21960146400976008,0.020333468889792598,0.10776738511590077,0.0061000406669377795,0.0,0.020333468889792598,0.0016266775111834079,0.00040666937779585197,0.0012200081333875558,0.27612850752338347,0.0008133387555917039,0.0,0.0,0.0008133387555917039,0.0,0.0,0.0
204,814,0.0171990171990172,0.028255528255528257,0.007371007371007371,0.004914004914004914,0.18304668304668303,0.0171990171990172,0.12407862407862408,0.0,0.06756756756756757,0.08968058968058969,0.014742014742014743,0.07985257985257985,0.0,0.15356265356265356,0.0,0.07371007371007371,0.0,0.028255528255528257,0.11056511056511056,0.0
79,3328,0.04176682692307692,0.015024038461538462,0.1346153846153846,0.08954326923076923,0.10667067307692307,0.05318509615384615,0.0655048076923077,0.0,0.07391826923076923,0.07361778846153846,0.03545673076923077,0.03545673076923077,0.10336538461538461,0.050180288461538464,0.0,0.03786057692307692,0.0078125,0.026141826923076924,0.04927884615384615,0.0006009615384615385
290,8700,0.04,0.002988505747126437,0.1660919540229885,0.12551724137931033,0.014367816091954023,0.06597701149425288,0.08241379310344828,0.0,0.04689655172413793,0.10494252873563219,0.011724137931034483,0.013793103448275862,0.15471264367816093,0.004022988505747126,0.0003448275862068965,0.029080459770114944,0.0018390804597701149,0.040229885057471264,0.09482758620689655,0.00022988505747126436
184,1304,0.04217791411042945,0.007668711656441718,0.02607361963190184,0.0,0.05061349693251534,0.01763803680981595,0.1495398773006135,0.0,0.06825153374233128,0.037576687116564415,0.006901840490797546,0.12576687116564417,0.0,0.00843558282208589,0.0007668711656441718,0.06901840490797546,0.0023006134969325155,0.10352760736196319,0.2645705521472393,0.019171779141104295
334,1102,0.022686025408348458,0.10526315789473684,0.029038112522686024,0.2295825771324864,0.009074410163339383,0.11161524500907441,0.05535390199637023,0.0,0.0018148820326678765,0.1161524500907441,0.0,0.0009074410163339383,0.26678765880217786,0.020871143375680582,0.0,0.009981851179673321,0.0,0.004537205081669692,0.007259528130671506,0.009074410163339383
15,775,0.02064516129032258,0.003870967741935484,0.5819354838709677,0.27225806451612905,0.0,0.07483870967741936,0.0,0.0,0.0064516129032258064,0.0012903225806451613,0.0,0.0064516129032258064,0.027096774193548386,0.0,0.0025806451612903226,0.0,0.0025806451612903226,0.0,0.0,0.0
72,2036,0.0343811394891945,0.003929273084479371,0.25,0.16453831041257366,0.008349705304518664,0.06679764243614932,0.021611001964636542,0.0,0.02504911591355599,0.10658153241650295,0.09086444007858546,0.011787819253438114,0.21267190569744598,0.0004911591355599214,0.0,0.0009823182711198428,0.0014734774066797642,0.0004911591355599214,0.0,0.0
96,3887,0.04425006431695395,0.0015436068947774634,0.12940571134551068,0.09853357344996141,0.029328531000771804,0.05788525855415488,0.07718034473887317,0.0,0.05968613326472858,0.09647543092359145,0.0720349884229483,0.04656547465912014,0.12477489066117829,0.005402624131721122,0.0,0.03704656547465912,0.0,0.03678929765886288,0.08258296887059428,0.0005145356315924878
30,1005,0.001990049751243781,0.003980099502487562,0.2109452736318408,0.2746268656716418,0.0,0.010945273631840797,0.0,0.0,0.008955223880597015,0.045771144278606964,0.006965174129353234,0.0,0.43582089552238806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,877,0.010262257696693273,0.004561003420752566,0.1345496009122007,0.14367160775370583,0.005701254275940707,0.029646522234891677,0.026225769669327253,0.0,0.02508551881413911,0.13112884834663627,0.08437856328392246,0.028506271379703536,0.21436716077537057,0.0,0.0,0.005701254275940707,0.002280501710376283,0.03192702394526796,0.12086659064994298,0.0011402508551881414
23,1782,0.12906846240179573,0.013468013468013467,0.006172839506172839,0.02861952861952862,0.057800224466891134,0.1627384960718294,0.23232323232323232,0.0,0.06958473625140292,0.010662177328843996,0.001122334455667789,0.18855218855218855,0.0,0.008978675645342313,0.01739618406285073,0.0611672278338945,0.012345679012345678,0.0,0.0,0.0
424,7272,0.005088008800880088,0.10946094609460946,0.012651265126512651,0.11936193619361936,0.010038503850385039,0.07260726072607261,0.0732948294829483,0.0,0.002612761276127613,0.10657315731573157,0.00041254125412541255,0.0017876787678767878,0.17491749174917492,0.15099009900990099,0.0,0.045517051705170515,0.00041254125412541255,0.00041254125412541255,0.11372387238723872,0.0001375137513751375
246,1315,0.05171102661596958,0.025095057034220533,0.02585551330798479,0.08136882129277566,0.028136882129277566,0.06387832699619772,0.06463878326996197,0.0,0.015209125475285171,0.0806083650190114,0.003041825095057034,0.02585551330798479,0.07072243346007605,0.025095057034220533,0.2509505703422053,0.013688212927756654,0.0022813688212927757,0.018250950570342206,0.15361216730038021,0.0
298,1824,0.06633771929824561,0.03289473684210526,0.01644736842105263,0.21929824561403508,0.0356359649122807,0.12006578947368421,0.18146929824561403,0.0,0.008223684210526315,0.16228070175438597,0.0027412280701754384,0.05701754385964912,0.008223684210526315,0.001644736842105263,0.0005482456140350877,0.010416666666666666,0.0043859649122807015,0.015350877192982455,0.05701754385964912,0.0
248,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1842,0.03311617806731813,0.0054288816503800215,0.0016286644951140066,0.004885993485342019,0.02280130293159609,0.008686210640608035,0.11292073832790445,0.0,0.07980456026058631,0.2296416938110749,0.13029315960912052,0.07709011943539631,0.0005428881650380022,0.01031487513572204,0.0,0.04125950054288816,0.0,0.06568946796959826,0.1758957654723127,0.0
207,1156,0.05363321799307959,0.11505190311418685,0.0,0.026816608996539794,0.11332179930795848,0.08823529411764706,0.12629757785467127,0.0,0.0025951557093425604,0.06055363321799308,0.0,0.06487889273356401,0.0,0.18079584775086505,0.0,0.07612456747404844,0.01384083044982699,0.0017301038062283738,0.0017301038062283738,0.07439446366782007
338,3652,0.023822562979189485,0.10952902519167579,0.008762322015334063,0.1119934282584885,0.06845564074479737,0.06818181818181818,0.07639649507119387,0.0,0.0019167579408543264,0.09665936473165389,0.0002738225629791895,0.017798466593647318,0.15169769989047097,0.1251369112814896,0.0,0.039978094194961664,0.0008214676889375684,0.0019167579408543264,0.006297918948521358,0.09036144578313253
176,6440,0.033385093167701864,0.08695652173913043,0.006055900621118012,0.09549689440993789,0.1093167701863354,0.06940993788819876,0.08167701863354038,0.0,0.0068322981366459624,0.08990683229813665,0.002484472049689441,0.0531055900621118,0.12018633540372671,0.11677018633540373,0.0,0.04052795031055901,0.0013975155279503106,0.0006211180124223603,0.08586956521739131,0.0
314,6703,0.02446665672087125,0.11502312397433985,0.004177234074295092,0.11099507683126958,0.040131284499477844,0.0742950917499627,0.08264955989855288,0.0,0.004028047143070267,0.0996568700581829,0.0001491869312248247,0.015963001641056244,0.149783678949724,0.13307474265254363,0.0,0.047143070267044604,0.001491869312248247,0.001491869312248247,0.09547963598388781,0.0
241,1881,0.02126528442317916,0.07761828814460393,0.00531632110579479,0.16321105794790006,0.008506113769271665,0.0531632110579479,0.06911217437533226,0.0,0.002658160552897395,0.1547049441786284,0.001063264221158958,0.02711323763955343,0.23923444976076555,0.005847953216374269,0.0,0.008506113769271665,0.0,0.004253056884635832,0.15842636895268475,0.0
420,724,0.029005524861878452,0.03591160220994475,0.03314917127071823,0.11740331491712708,0.04143646408839779,0.07044198895027624,0.05110497237569061,0.0,0.0027624309392265192,0.1298342541436464,0.023480662983425413,0.0055248618784530384,0.08287292817679558,0.004143646408839779,0.0,0.04696132596685083,0.324585635359116,0.0013812154696132596,0.0,0.0
,,2073.0,3237.0,4764.0,7144.0,2611.0,4216.0,4917.0,390.0,1582.0,5840.0,1079.0,1979.0,8451.0,3878.0,368.0,2105.0,363.0,980.0,4832.0,459.0
