s_part,n_source_edges,f_part_937,f_part_1561,f_part_1068,f_part_1318,f_part_876,f_part_511,f_part_1135,f_part_723,f_part_1269,f_part_816,f_part_542,f_part_609,f_part_1282,f_part_979,f_part_1365,f_part_621,f_part_1188,f_part_1141,f_part_1419,f_part_764,f_part_1539
114,3341,0.09637832984136487,0.00598623166716552,0.20143669560011973,0.2140077821011673,0.1592337623466028,0.012571086501047591,0.0062855432505237955,0.0,0.022448368751870697,0.0,0.0017958695001496557,0.08290930859024244,0.19515115234959593,0.0,0.0,0.000299311583358276,0.001197246333433104,0.000299311583358276,0.0,0.0,0.0
197,1874,0.049626467449306294,0.009071504802561366,0.0192102454642476,0.005336179295624333,0.0,0.11205976520811099,0.11419423692636073,0.0,0.08484525080042689,0.009071504802561366,0.09925293489861259,0.0,0.0,0.06670224119530416,0.0,0.09551760939167556,0.0,0.04429028815368197,0.06616862326574173,0.211846318036286,0.012806830309498399
441,3232,0.06961633663366337,0.017636138613861384,0.08199257425742575,0.08044554455445545,0.04733910891089109,0.11757425742574257,0.05816831683168317,0.0,0.09560643564356436,0.024443069306930694,0.019492574257425743,0.0343440594059406,0.09313118811881188,0.059096534653465344,0.0,0.04857673267326733,0.005878712871287129,0.06961633663366337,0.022277227722772276,0.054146039603960396,0.0006188118811881188
84,8117,0.08697794751755575,0.002956757422693113,0.08451398299864482,0.12147345078230873,0.07539731427867438,0.012443020820500184,0.08562276703215474,0.0,0.04619933472957989,0.015399778243193298,0.010964642109153629,0.04619933472957989,0.13662683257361094,0.0077614882345694225,0.0,0.040655414562030305,0.002587162744856474,0.09301466058888752,0.03375631390907971,0.09720340027103609,0.00024639645189109276
214,4532,0.08693733451015004,0.0019858781994704323,0.07987643424536628,0.09532215357458076,0.047440423654015886,0.033759929390997354,0.07722859664607237,0.0,0.06928508384819064,0.06200353045013239,0.03287731685789938,0.03640776699029126,0.10260370697263901,0.010812003530450132,0.0,0.05560458958517211,0.0,0.08671668137687555,0.03133274492497794,0.08936451897616945,0.000441306266548985
349,13068,0.06841138659320478,0.13429752066115702,0.0032139577594123047,0.10376492194674013,0.006504438322620141,0.024028160391796755,0.08570554025099479,0.0,0.0036730945821854912,0.00038261401897765536,0.004132231404958678,0.05287725742271197,0.14202632384450567,0.1386593204775023,0.0,0.035200489745944294,0.0014539332721150904,0.09144475053565963,0.0004591368227731864,0.1036883991429446,7.652280379553107e-05
69,2156,0.07142857142857142,0.004174397031539889,0.14517625231910947,0.15862708719851576,0.10296846011131726,0.00927643784786642,0.032467532467532464,0.0,0.03432282003710575,0.08116883116883117,0.006957328385899814,0.06679035250463822,0.1901669758812616,0.00046382189239332097,0.0,0.0055658627087198514,0.0018552875695732839,0.08858998144712431,0.0,0.0,0.0
51,1153,0.0199479618386817,0.003469210754553339,0.08152645273200347,0.14830875975715524,0.07111882046834345,0.005203816131830009,0.03902862098872507,0.0,0.0199479618386817,0.0823937554206418,0.015611448395490026,0.05637467476149176,0.20815264527320035,0.0,0.0,0.006938421509106678,0.003469210754553339,0.12142237640936687,0.023417172593235037,0.09280138768430182,0.0008673026886383347
449,1748,0.17219679633867277,0.03318077803203661,0.008581235697940504,0.2151029748283753,0.0017162471395881006,0.04977116704805492,0.2391304347826087,0.0,0.018306636155606407,0.0,0.10297482837528604,0.020594965675057208,0.0005720823798627002,0.003432494279176201,0.0,0.02631578947368421,0.008009153318077803,0.09496567505720824,0.0011441647597254005,0.004004576659038902,0.0
415,1261,0.24662965900079303,0.011102299762093577,0.011102299762093577,0.023790642347343377,0.0,0.06661379857256146,0.19746233148295003,0.0,0.14353687549563837,0.0,0.1260904044409199,0.0015860428231562252,0.0,0.0190325138778747,0.020618556701030927,0.11736716891356067,0.011895321173671689,0.0031720856463124504,0.0,0.0,0.0
