siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
A-Gu 29 (olim 38/8 f.),85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1011,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1015,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
CH-SGs 390,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
CZ-Pn XII A 24,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
D-KNd 1161,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
D-MZb A,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [01] I,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
"E-BAR, s.s.",85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
E-Bbc Ms. 2545,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
E-H Ms. 7 (ant. 5),85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
E-VI Mss. 113-114,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17991,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn NAL 1236,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
I-BV V 19,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
I-VCd CLXX,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
PL-GD Mar. F 408,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
PL-STAb ms. 1,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
V-CVbav Cappella Sistina 27,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
A-Wda C-11,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu Pu XIV A 19,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
I-MC 542,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
PL-STAb ms. 2,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
"E-TZ, Ms. 18",85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [15] XV,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [05] V,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
E-SA 5,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
D-Dl Mscr.Dresd.A.0122,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
NL-Uu Hs. 0062,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
CZ-Pak P VII,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
GB-Lbl Additional 18031,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
F-O Ms 121,85,5,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1018,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
A-KN CCl 589,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
A-Wda C-10,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
D-FUl Aa 55,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
I-BV V 20,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
NL-ZUa 6,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
SK-Sk 2,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
D-W Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
B-Gu Hs BKT.006,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
SI-Lna 19 (olim 18),177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 15182,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.3 (rkp. Perg. 15),177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
SK-Bra BAI ECLad.3,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1030,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
CH-SGs 391,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [06] VI,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
E-H Ms. 8 (ant. 6),177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
H-Bu lat. 119,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. F Nr. 6,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
PL-WRzno Rkp. 12025/IV,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
US-Cai 1911.142b,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
CZ-R R 17,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
D-MZb D,177,5,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
