s_part,n_source_edges,f_part_661,f_part_1815,f_part_1454,f_part_1663,f_part_1033,f_part_843,f_part_637,f_part_2140,f_part_498,f_part_606,f_part_897,f_part_1540,f_part_1075,f_part_2237,f_part_688,f_part_1393,f_part_1382,f_part_492,f_part_1995,f_part_2505,f_part_937,f_part_1485
103,3412,0.0313599062133646,0.005568581477139508,0.20926143024618993,0.20574443141852286,0.1638335287221571,0.009378663540445486,0.0,0.0020515826494724504,0.1052168815943728,0.004982415005861665,0.0,0.003223915592028136,0.004103165298944901,0.002637749120750293,0.004103165298944901,0.03429073856975381,0.2048651817116061,0.0008792497069167644,0.0008792497069167644,0.0076201641266119575,0.0,0.0
357,975,0.019487179487179488,0.010256410256410256,0.012307692307692308,0.0010256410256410256,0.0,0.16923076923076924,0.0,0.08615384615384615,0.014358974358974359,0.16307692307692306,0.0,0.059487179487179485,0.015384615384615385,0.15794871794871795,0.01641025641025641,0.010256410256410256,0.0,0.12102564102564102,0.0,0.043076923076923075,0.10051282051282051,0.0
60,3593,0.025883662677428334,0.015307542443640411,0.077650988032285,0.07236292791539103,0.04759254105204565,0.13804620094628445,0.0,0.025327024770386862,0.0512106874478152,0.077650988032285,0.0,0.07347620372947397,0.033119955468967434,0.06874478151962149,0.011132758140829391,0.04119120512106875,0.08739215140551071,0.05482883384358475,0.0064013359309769,0.04063456721402728,0.051489006401335934,0.0005566379070414695
71,7808,0.031762295081967214,0.004354508196721311,0.08440061475409837,0.12295081967213115,0.08094262295081968,0.0234375,0.00012807377049180329,0.01485655737704918,0.0705686475409836,0.09579918032786885,0.0,0.10668545081967214,0.01754610655737705,0.012423155737704918,0.007684426229508197,0.011398565573770492,0.14971823770491804,0.005251024590163934,0.0024334016393442624,0.05507172131147541,0.10233094262295082,0.00025614754098360657
251,1310,0.03969465648854962,0.003816793893129771,0.020610687022900764,0.0,0.0,0.05877862595419847,0.0,0.17404580152671756,0.017557251908396947,0.1984732824427481,0.0,0.0366412213740458,0.009923664122137405,0.028244274809160305,0.0030534351145038168,0.01450381679389313,0.0,0.01984732824427481,0.0,0.10152671755725191,0.2549618320610687,0.0183206106870229
436,13123,0.011811323630267469,0.13373466432980263,0.005334146155604663,0.11552236531280957,0.006477177474662805,0.004648327364169778,0.0,0.007239198354034901,0.08001219233406995,0.10249180827554676,0.0,0.1053112855292235,0.0003810104396860474,0.016383448906500037,0.0007620208793720948,0.008991846376590718,0.1494322944448678,0.14607940257563057,0.0011430313190581422,0.0012954354949325612,0.1028728187152328,7.620208793720948e-05
40,2493,0.020858403529883673,0.0024067388688327317,0.1299638989169675,0.16526273565984756,0.10028078620136383,0.0188527878058564,0.0,0.004412354592860008,0.06337745687926194,0.01444043321299639,0.0,0.10028078620136383,0.1111111111111111,0.004412354592860008,0.01444043321299639,0.023666265543521862,0.21780986762936222,0.0008022462896109105,0.0012033694344163659,0.006417970316887284,0.0,0.0
342,3884,0.03527291452111225,0.002317198764160659,0.08316168898043254,0.08934088568486097,0.042224510813594233,0.039907312049433576,0.0,0.042996910401647784,0.058444902162718845,0.09474768280123584,0.0,0.09938208032955716,0.09140061791967044,0.02085478887744593,0.009268795056642637,0.024459320288362514,0.10916580844490216,0.010813594232749742,0.0005149330587023687,0.0509783728115345,0.09397528321318228,0.000772399588053553
83,1986,0.029707955689828803,0.0,0.07905337361530715,0.10372608257804633,0.07653575025176233,0.0,0.0,0.004531722054380665,0.05991943605236657,0.08056394763343404,0.0,0.10725075528700906,0.006545820745216516,0.004028197381671702,0.08811681772406849,0.05891238670694864,0.1283987915407855,0.014098690835850957,0.0,0.07301107754279959,0.08559919436052367,0.0
179,2229,0.07043517272319426,0.029609690444145357,0.02332884701659937,0.1601615074024226,0.0031404217137729925,0.02602063705697622,0.0,0.060116644235083,0.15208613728129206,0.19246298788694483,0.0,0.14445939883355766,0.004037685060565276,0.01973979362943024,0.0,0.026917900403768506,0.005383580080753701,0.006280843427545985,0.005383580080753701,0.02288021534320323,0.04755495737999103,0.0
160,1988,0.039738430583501,0.019114688128772636,0.011569416498993963,0.05331991951710262,0.006539235412474849,0.005030181086519115,0.39889336016096577,0.01609657947686117,0.07494969818913481,0.07142857142857142,0.0,0.05432595573440644,0.0035211267605633804,0.014587525150905433,0.0,0.04879275653923541,0.03470824949698189,0.01710261569416499,0.004024144869215292,0.01609657947686117,0.11016096579476861,0.0
319,1297,0.08866615265998458,0.027756360832690823,0.014649190439475714,0.006939090208172706,0.0,0.11488049344641481,0.0,0.05551272166538165,0.16191210485736315,0.26214340786430224,0.0,0.0,0.0030840400925212026,0.05782575173477255,0.006168080185042405,0.09175019275250579,0.0,0.047031611410948346,0.025443330763299923,0.03469545104086353,0.0015420200462606013,0.0
354,1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,1889,0.03493912122816305,0.005293806246691371,0.0,0.004764425622022234,0.0,0.04235044997353097,0.0,0.05082053996823716,0.008470089994706194,0.13869772366331393,0.0,0.22975119110640552,0.1397564849126522,0.028057173107464268,0.01270513499205929,0.014293276866066702,0.0005293806246691371,0.01270513499205929,0.0,0.09370037056643726,0.18316569613552144,0.0
241,3873,0.018332042344435837,0.13607022979602376,0.005163955589981926,0.11154144074360961,0.004647560030983733,0.013426284533953009,0.0,0.01600826232894397,0.07384456493674155,0.09579137619416472,0.0,0.10018073844564937,0.0002581977794990963,0.05241414923831655,0.0,0.022463206816421378,0.13916860315001292,0.11360702297960237,0.0010327911179963851,0.0012909888974954814,0.006713142266976504,0.08804544280919184
395,645,0.010852713178294573,0.07286821705426356,0.017054263565891473,0.30387596899224806,0.0015503875968992248,0.010852713178294573,0.0,0.0,0.15503875968992248,0.007751937984496124,0.0,0.0,0.0,0.006201550387596899,0.0,0.024806201550387597,0.3891472868217054,0.0,0.0,0.0,0.0,0.0
414,1466,0.03137789904502047,0.14733969986357434,0.0,0.018417462482946793,0.0,0.015688949522510234,0.0,0.04229195088676671,0.06412005457025921,0.15552523874488403,0.0,0.08867667121418826,0.0,0.0927694406548431,0.001364256480218281,0.034106412005457026,0.0,0.19645293315143247,0.0,0.002728512960436562,0.04911323328785812,0.06002728512960437
379,7187,0.022262418255182968,0.09851120077918464,0.004730763879226381,0.09322387644357868,0.0020871017114234033,0.013357450953109782,0.0004174203422846807,0.04341171559760679,0.07221371921524976,0.09962432169194378,0.0,0.08960623347711145,0.0026436621678029774,0.09892862112146932,0.0002782802281897871,0.039376652288854876,0.11103381104772506,0.11966049812160846,0.0018088214832336163,0.002226241825518297,0.08459718936969528,0.0
228,2840,0.01971830985915493,0.09154929577464789,0.0035211267605633804,0.17711267605633804,0.0007042253521126761,0.009507042253521126,0.0,0.016901408450704224,0.07640845070422535,0.0795774647887324,0.0,0.14894366197183098,0.0007042253521126761,0.001056338028169014,0.00035211267605633805,0.010211267605633803,0.2186619718309859,0.01584507042253521,0.0,0.0038732394366197184,0.12535211267605634,0.0
443,834,0.011990407673860911,0.03357314148681055,0.025179856115107913,0.08752997601918465,0.0,0.0,0.0,0.013189448441247002,0.08633093525179857,0.07194244604316546,0.0,0.13189448441247004,0.02038369304556355,0.022781774580335732,0.002398081534772182,0.023980815347721823,0.06474820143884892,0.027577937649880094,0.37290167865707435,0.0035971223021582736,0.0,0.0
451,246,0.13821138211382114,0.044715447154471545,0.0,0.0040650406504065045,0.0,0.0,0.0,0.3333333333333333,0.15853658536585366,0.22764227642276422,0.0,0.02032520325203252,0.0,0.012195121951219513,0.0,0.06097560975609756,0.0,0.0,0.0,0.0,0.0,0.0
,,1723.0,3840.0,2755.0,6787.0,2069.0,1718.0,797.0,1719.0,4726.0,6207.0,1118.0,6009.0,1271.0,2139.0,430.0,1575.0,7710.0,4163.0,446.0,1497.0,5036.0,461.0
