siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
A-Gu 29 (olim 38/8 f.),2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
A-KN CCl 1010,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
A-KN CCl 1011,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
A-KN CCl 1015,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
A-KN CCl 1017,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
CH-SGs 390,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
CZ-Pn XII A 24,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
D-KNd 1161,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
D-MZb A,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,2373,36,2,0,3,2,0,0,0,0,0,0,0,17,4,1,0,1,0,0,0,0,0,0,0,0
