siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
A-Gu 29 (olim 38/8 f.),380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1011,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1015,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
CH-SGs 390,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
D-KNd 1161,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
I-BV V 19,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
I-VCd CLXX,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
A-Wda C-11,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
I-MC 542,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
GB-Lbl Additional 18031,380,43,7,7,0,0,0,0,0,0,0,0,0,8,6,1,1,0,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),868,19,15,7,0,0,0,0,0,0,0,0,0,14,2,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,868,19,15,7,0,0,0,0,0,0,0,0,0,14,2,3,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [09] IX,868,19,15,7,0,0,0,0,0,0,0,0,0,14,2,3,1,0,0,0,0,0,0,0,0,0
CZ-R R 17,868,19,15,7,0,0,0,0,0,0,0,0,0,14,2,3,1,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,868,19,15,7,0,0,0,0,0,0,0,0,0,14,2,3,1,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),860,19,15,7,0,0,0,0,0,0,0,0,0,13,2,3,1,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,860,19,15,7,0,0,0,0,0,0,0,0,0,13,2,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 11,860,19,15,7,0,0,0,0,0,0,0,0,0,13,2,3,1,0,0,0,0,0,0,0,0,0
CH-E 611,2314,25,15,7,0,0,0,0,0,0,0,0,0,41,4,3,1,0,0,0,0,0,0,0,0,0
E-Tc 44.1,2314,25,15,7,0,0,0,0,0,0,0,0,0,41,4,3,1,0,0,0,0,0,0,0,0,0
