s_part,n_source_edges,f_part_1978,f_part_1060,f_part_720,f_part_1579,f_part_1184,f_part_2728,f_part_1510,f_part_1329,f_part_2212,f_part_2723,f_part_765,f_part_1013,f_part_1230,f_part_592,f_part_982,f_part_608,f_part_2521,f_part_1102,f_part_1414,f_part_710
23,3333,0.049204920492049206,0.005700570057005701,0.20972097209720972,0.23522352235223523,0.15871587158715872,0.0165016501650165,0.0009000900090009,0.0063006300630063005,0.004500450045004501,0.0,0.0021002100210021,0.0,0.015001500150015001,0.0612061206120612,0.23192319231923192,0.0015001500150015,0.0009000900090009,0.0006000600060006001,0.0,0.0
3,1918,0.04223149113660062,0.006777893639207508,0.020855057351407715,0.0031282586027111575,0.0,0.10375391032325339,0.0,0.20125130344108447,0.1689259645464025,0.0,0.047966631908237745,0.008863399374348279,0.027632950990615225,0.01616266944734098,0.0,0.0735140771637122,0.0,0.06882168925964546,0.19760166840458812,0.01251303441084463
393,3637,0.044817156997525434,0.014572449821281275,0.07891119054165521,0.07918614242507561,0.04674182018146824,0.16139675556777563,0.0,0.09925762991476492,0.07093758592246358,0.0,0.07533681605718999,0.02364586197415452,0.029694803409403354,0.03656860049491339,0.0959582073137201,0.059114654935386306,0.006598845202089634,0.029694803409403354,0.04701677206488864,0.0005499037668408029
25,6678,0.037885594489368075,0.004791853848457622,0.08849955076370171,0.13671758011380652,0.07891584306678646,0.026654687032045522,0.0001497454327643007,0.031446540880503145,0.09973045822102426,0.0,0.10557053009883198,0.011680143755615454,0.018568433662773286,0.049565738244983525,0.1570829589697514,0.005989817310572028,0.0032943995208146153,0.04716981132075472,0.09598682240191674,0.0002994908655286014
305,7929,0.008197755076302183,0.154117795434481,0.006179846134443183,0.1353260184134191,0.009458948164964056,0.002396266868457561,0.0,0.00971118678269643,0.09484172026737293,0.0,0.10543574221213267,0.0007567158531971245,0.0007567158531971245,0.05725816622524908,0.1684953966452264,0.13885735906167235,0.0,0.0007567158531971245,0.10732753184512549,0.0001261193088661874
49,2604,0.031874039938556066,0.002688172043010753,0.1455453149001536,0.18394777265745008,0.11136712749615975,0.026113671274961597,0.0,0.008064516129032258,0.017665130568356373,0.0,0.0956221198156682,0.09101382488479262,0.020737327188940093,0.03648233486943164,0.2208141321044547,0.0015360983102918587,0.001152073732718894,0.005376344086021506,0.0,0.0
184,4246,0.0527555346208196,0.002119642016015073,0.08266603862458785,0.10080075365049458,0.04851625058878945,0.06076307112576543,0.0,0.06406029203956665,0.09632595383890721,0.0,0.09514837494112105,0.06194065002355158,0.030852567121997174,0.04309938765897315,0.11658031088082901,0.012246820536975978,0.0,0.041921808761187,0.08973151201130476,0.0004710315591144607
81,1785,0.08235294117647059,0.0,0.08123249299719888,0.11428571428571428,0.0711484593837535,0.0011204481792717086,0.0,0.008403361344537815,0.07899159663865546,0.0,0.10980392156862745,0.0,0.12661064425770308,0.040336134453781515,0.13445378151260504,0.016246498599439777,0.0,0.047058823529411764,0.08795518207282914,0.0
45,961,0.015608740894901144,0.004162330905306972,0.07388137356919876,0.15088449531737774,0.05202913631633715,0.02497398543184183,0.0,0.02081165452653486,0.02809573361082206,0.0,0.13215400624349635,0.08740894901144641,0.019771071800208116,0.013527575442247659,0.22580645161290322,0.001040582726326743,0.002081165452653486,0.03537981269510926,0.1113423517169615,0.001040582726326743
236,1735,0.06512968299711816,0.018443804034582133,0.012103746397694525,0.069164265129683,0.006340057636887608,0.016714697406340056,0.41095100864553313,0.03688760806916427,0.07262247838616714,0.0,0.05475504322766571,0.005187319884726225,0.005187319884726225,0.04207492795389049,0.044956772334293946,0.0207492795389049,0.001729106628242075,0.01037463976945245,0.10662824207492795,0.0
126,1372,0.1282798833819242,0.02478134110787172,0.0058309037900874635,0.013848396501457727,0.0,0.14285714285714285,0.0,0.18440233236151604,0.2565597667638484,0.0,0.0036443148688046646,0.0,0.028425655976676383,0.12463556851311954,0.0,0.056851311953352766,0.018950437317784258,0.010932944606413994,0.0,0.0
167,1606,0.0784557907845579,0.041718555417185554,0.038605230386052306,0.20672478206724781,0.0049813200498132005,0.036737235367372355,0.0,0.06537982565379825,0.18617683686176836,0.0,0.1444582814445828,0.0024906600249066002,0.00560398505603985,0.08779576587795766,0.014321295143212951,0.009962640099626401,0.0037359900373599006,0.02303860523038605,0.049813200498132,0.0
328,1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1889,0.047114875595553204,0.006352567496029645,0.0015881418740074113,0.0037056643726839597,0.0,0.06829010058231869,0.0,0.08417151932239281,0.13710958178930652,0.0,0.21651667548967707,0.11858125992588671,0.035997882477501325,0.007940709370037057,0.0005293806246691371,0.013763896241397565,0.0,0.07834833245103229,0.17998941238750663,0.0
