siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
US-KClbsc M2147.C53 1500z,349,78,16,2,0,0,0,0,0,0,0,0,0,10,10,3,1,0,0,0,0,0,0,0,0,0
P-Ln L.C. 243,349,78,16,2,0,0,0,0,0,0,0,0,0,10,10,3,1,0,0,0,0,0,0,0,0,0
EC-Qsf 4,349,78,16,2,0,0,0,0,0,0,0,0,0,10,10,3,1,0,0,0,0,0,0,0,0,0
E-Bbc M 705,365,21,16,2,0,0,0,0,0,0,0,0,0,12,2,3,1,0,0,0,0,0,0,0,0,0
E-H Ms. 7 (ant. 5),365,21,16,2,0,0,0,0,0,0,0,0,0,12,2,3,1,0,0,0,0,0,0,0,0,0
E-VI Mss. 113-114,365,21,16,2,0,0,0,0,0,0,0,0,0,12,2,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu Pu XIV A 19,365,21,16,2,0,0,0,0,0,0,0,0,0,12,2,3,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [04] IV,365,21,16,2,0,0,0,0,0,0,0,0,0,12,2,3,1,0,0,0,0,0,0,0,0,0
E-SA 5,365,21,16,2,0,0,0,0,0,0,0,0,0,12,2,3,1,0,0,0,0,0,0,0,0,0
"E-Gs ms. 45 (olim Sant Feliu, 20)",2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
F-AI 44,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
F-Pn Latin 1085,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
F-Pn Latin 1090,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
F-Pn Latin 1240,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17296,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
F-Pn NAL 1535,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
I-CHV s.c.,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
I-Far s.c.,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
I-Fl Conv. sopp. 560,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
I-Lc 601,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
I-MZ 15/79,2799,86,1,2,0,0,0,0,0,0,0,0,0,58,13,0,1,0,0,0,0,0,0,0,0,0
E-SI MS 9,2556,86,1,2,0,0,0,0,0,0,0,0,0,51,13,0,1,0,0,0,0,0,0,0,0,0
F-AS 465 (CGM 893),1811,86,1,2,0,0,0,0,0,0,0,0,0,42,13,0,1,0,0,0,0,0,0,0,0,0
F-CA 38 (olim 40),1811,86,1,2,0,0,0,0,0,0,0,0,0,42,13,0,1,0,0,0,0,0,0,0,0,0
GB-AB 20541 E,1811,86,1,2,0,0,0,0,0,0,0,0,0,42,13,0,1,0,0,0,0,0,0,0,0,0
GB-Cu Mm.ii.9,1811,86,1,2,0,0,0,0,0,0,0,0,0,42,13,0,1,0,0,0,0,0,0,0,0,0
F-CA Impr. XVI C 4,176,86,1,2,0,0,0,0,0,0,0,0,0,5,13,0,1,0,0,0,0,0,0,0,0,0
