s_part,n_source_edges,f_part_1266,f_part_1768,f_part_977,f_part_2462,f_part_1440,f_part_1731,f_part_797,f_part_1384,f_part_1792,f_part_2750,f_part_913,f_part_940,f_part_1546,f_part_697,f_part_518,f_part_1569,f_part_1995,f_part_1121,f_part_985,f_part_1444,f_part_544,f_part_2664
25,3428,0.044049008168028,0.004667444574095682,0.27158693115519256,0.1855309218203034,0.014294049008168028,0.0005834305717619603,0.002042007001166861,0.10268378063010501,0.007001166861143524,0.0,0.004375729288214702,0.0008751458576429405,0.009334889148191364,0.00029171528588098014,0.10851808634772463,0.2307467911318553,0.002042007001166861,0.001750291715285881,0.009043173862310384,0.0005834305717619603,0.0,0.0
3,816,0.0196078431372549,0.029411764705882353,0.0,0.0012254901960784314,0.07598039215686274,0.0,0.05514705882352941,0.0196078431372549,0.09558823529411764,0.0,0.0196078431372549,0.0,0.15318627450980393,0.11642156862745098,0.0024509803921568627,0.0,0.1568627450980392,0.08823529411764706,0.025735294117647058,0.030637254901960783,0.11029411764705882,0.0
212,1605,0.03177570093457944,0.0161993769470405,0.0940809968847352,0.06978193146417445,0.06417445482866044,0.0,0.016822429906542057,0.05669781931464175,0.059190031152647975,0.0,0.02367601246105919,0.020560747663551402,0.10404984423676013,0.06230529595015576,0.030529595015576325,0.11838006230529595,0.08348909657320873,0.0691588785046729,0.024299065420560748,0.024299065420560748,0.030529595015576325,0.0
11,5703,0.043485884622128705,0.004909696650885499,0.11520252498684903,0.10520778537611783,0.01753463089601964,0.0001753463089601964,0.007890583903208837,0.06891109942135717,0.08556899877257584,0.0,0.009644046992810802,0.000876731544800982,0.011923549009293355,0.052603892688058915,0.052603892688058915,0.15448009819393302,0.004208311415044713,0.0967911625460284,0.030685604068034368,0.04576538663861126,0.09153077327722252,0.0
71,1264,0.051424050632911396,0.007911392405063292,0.0,0.0,0.11787974683544304,0.0007911392405063291,0.0759493670886076,0.011867088607594937,0.1305379746835443,0.0,0.0007911392405063291,0.0,0.023734177215189875,0.12025316455696203,0.023734177215189875,0.0,0.012658227848101266,0.030854430379746837,0.023734177215189875,0.10126582278481013,0.247626582278481,0.0189873417721519
387,7672,0.009384775808133473,0.14924400417101147,0.01173096976016684,0.10218978102189781,0.0010427528675703858,0.0,0.0024765380604796663,0.07494786235662149,0.08133472367049009,0.0,0.0003910323253388947,0.00026068821689259646,0.003519290928050052,0.036105318039624607,0.004562043795620438,0.17479144942648592,0.13555787278415016,0.10023461939520334,0.0014337851929092805,0.0003910323253388947,0.1102711157455683,0.00013034410844629823
47,2493,0.0304853590052146,0.004011231448054553,0.19374247894103488,0.14560770156438027,0.021660649819494584,0.0,0.0036101083032490976,0.06377858002406739,0.023265142398716406,0.0,0.10188527878058563,0.001604492579221821,0.00681909346169274,0.005615724027276374,0.061371841155234655,0.22462896109105496,0.00040112314480545525,0.0950661853188929,0.016446048937023665,0.0,0.0,0.0
100,3706,0.05099838100377766,0.0018888289260658392,0.08904479222881813,0.08041014570966001,0.054776038855909336,0.0002698327037236913,0.02671343766864544,0.054776038855909336,0.06853750674581759,0.0,0.0747436589314625,0.0005396654074473826,0.01807879114948732,0.05990286022665947,0.05099838100377766,0.12628170534268754,0.007285483000539665,0.08796546141392336,0.031570426335671885,0.03426875337290879,0.08041014570966001,0.0005396654074473826
39,1986,0.06747230614300101,0.0,0.11530715005035247,0.09164149043303121,0.0,0.0,0.006545820745216516,0.05488418932527694,0.07049345417925479,0.0,0.006545820745216516,0.0015105740181268882,0.0005035246727089627,0.025176233635448138,0.050352467270896276,0.14400805639476336,0.017119838872104734,0.0986908358509567,0.13444108761329304,0.029707955689828803,0.08559919436052367,0.0
507,2139,0.027115474520804116,0.004207573632538569,0.1294997662459093,0.11547452080411408,0.016830294530154277,0.0009350163627863488,0.0070126227208976155,0.059841047218326324,0.06545114539504442,0.0,0.05049088359046283,0.024777933613838243,0.004675081813931743,0.016362786348761104,0.03225806451612903,0.171575502571295,0.0009350163627863488,0.11594202898550725,0.009350163627863487,0.03412809724170173,0.11173445535296868,0.001402524544179523
182,1423,0.12016865776528461,0.029515108924806747,0.0007027406886858749,0.16373858046380885,0.0021082220660576245,0.0,0.029515108924806747,0.15390021082220662,0.22347153900210823,0.0,0.005621925509486999,0.024595924104005622,0.02881236823612087,0.024595924104005622,0.03373155305692199,0.0007027406886858749,0.0014054813773717498,0.14546732255797612,0.006324666198172874,0.0014054813773717498,0.0035137034434293743,0.0007027406886858749
73,2025,0.04098765432098765,0.009876543209876543,0.08641975308641975,0.06469135802469136,0.19012345679012346,0.0,0.013333333333333334,0.05135802469135802,0.056296296296296296,0.0,0.03111111111111111,0.0,0.047407407407407405,0.058271604938271604,0.0454320987654321,0.0854320987654321,0.03209876543209877,0.07209876543209877,0.029135802469135802,0.028148148148148148,0.056790123456790124,0.0009876543209876543
