s_part,n_source_edges,f_part_1580,f_part_2428,f_part_1362,f_part_1598,f_part_623,f_part_1731,f_part_519,f_part_763,f_part_1447,f_part_1059,f_part_876,f_part_837,f_part_743,f_part_669,f_part_2644,f_part_1111,f_part_977,f_part_1981,f_part_1144,f_part_2456,f_part_2266
30,3231,0.047044258743423086,0.0018570102135561746,0.2562674094707521,0.20210461157536366,0.021046115753636643,0.0,0.004023522129371711,0.10584958217270195,0.006809037449705973,0.0,0.0030950170225936243,0.0064995357474466105,0.21015165583410708,0.0,0.0009285051067780873,0.010832559579077685,0.12039616217889199,0.0018570102135561746,0.0012380068090374497,0.0,0.0
241,1043,0.024928092042186004,0.0987535953978907,0.023969319271332695,0.0009587727708533077,0.3231064237775647,0.0,0.059443911792905084,0.012464046021093002,0.13902205177372962,0.0,0.02205177372962608,0.023969319271332695,0.0,0.059443911792905084,0.0,0.0,0.0,0.059443911792905084,0.039309683604985615,0.11313518696069032,0.0
20,3593,0.0392429724464236,0.0512106874478152,0.10102978012802671,0.07180629000834957,0.22293348177010855,0.0,0.017812413025327024,0.0456443083774005,0.07180629000834957,0.0,0.03423323128305038,0.02393543000278319,0.09184525466184247,0.03145004174784303,0.00584469802393543,0.0128026718619538,0.0328416365154467,0.0665182298914556,0.029501809073197886,0.04898413581964932,0.0005566379070414695
34,7668,0.03834115805946792,0.00639019300991132,0.10498174230568597,0.12232655190401669,0.04890453834115806,0.0,0.008346374543557642,0.06572769953051644,0.10315597287428273,0.0,0.01695357329160146,0.016823161189358372,0.15245174752217006,0.007433489827856025,0.0026082420448617634,0.0019561815336463224,0.06025039123630673,0.09546165884194054,0.04603547209181012,0.10159102764736568,0.0002608242044861763
212,1033,0.04356243949661181,0.011616650532429816,0.028073572120038724,0.0,0.13649564375605033,0.0,0.06873184898354308,0.016456921587608905,0.17521781219748306,0.0,0.00484027105517909,0.01452081316553727,0.0,0.03388189738625363,0.002904162633107454,0.0,0.0,0.030977734753146177,0.10551790900290416,0.30396902226524686,0.023233301064859633
69,6829,0.007614584858690877,0.24264167520866892,0.009078928100746815,0.11275442963830722,0.004832332698784595,0.0,0.004539464050373408,0.07043490994289062,0.10016107775662615,0.0,0.0,0.002196514863083907,0.160052716356714,0.03924439888709914,0.0,0.03499780348513692,0.006735978913457314,0.09386440181578562,0.0002928686484111876,0.11041148045101772,0.0001464343242055938
40,2784,0.029094827586206896,0.002514367816091954,0.16235632183908047,0.16918103448275862,0.021192528735632182,0.0,0.003951149425287357,0.059267241379310345,0.02514367816091954,0.0,0.10847701149425287,0.015086206896551725,0.2237787356321839,0.0,0.0010775862068965517,0.004669540229885058,0.07830459770114942,0.09303160919540229,0.0028735632183908046,0.0,0.0
82,4020,0.04328358208955224,0.006218905472636816,0.10124378109452736,0.09203980099502487,0.0845771144278607,0.0,0.034328358208955224,0.05721393034825871,0.0962686567164179,0.0,0.08656716417910448,0.020398009950248756,0.10920398009950248,0.018407960199004977,0.0004975124378109452,0.0007462686567164179,0.02661691542288557,0.09228855721393035,0.04129353233830846,0.0880597014925373,0.0007462686567164179
83,1986,0.05891238670694864,0.0,0.10825780463242698,0.09969788519637462,0.0055387713997985906,0.0,0.014098690835850957,0.05387713997985901,0.08811681772406849,0.0,0.006545820745216516,0.12386706948640483,0.1324269889224572,0.025176233635448138,0.0,0.0075528700906344415,0.051863041289023165,0.094662638469285,0.04380664652567976,0.08559919436052367,0.0
153,2411,0.08129406885109913,0.023226876814599753,0.018664454583160513,0.1605143094151804,0.08170883450850269,0.001244296972210701,0.05433430111986728,0.1443384487764413,0.22521775197013688,0.0,0.004562422231439237,0.0016590626296142678,0.007880547490667772,0.00829531314807134,0.006636250518457071,0.004977187888842804,0.0,0.11737868104520946,0.013687266694317711,0.0439651596847781,0.00041476565740356696
