office,feast,mean_rank,density,lcc_fraction,num_components,avg_distances,clustering,avg_degree,max_degree,betweenness_mean,modularity
Whole day,Dom. 1 Adventus,18.88888888888889,0.4713660702625049,0.4717741935483871,5,0.07062971465846317,0.3953433527069645,116.4274193548387,234,0.006722155506784269,0.42691273299176236
Whole day,Dom. 2 Adventus,18.444444444444443,0.4755977281229806,0.45267489711934156,4,0.1438369484916123,0.4311603843388155,115.09465020576131,236,0.00808848505734377,0.4101982799210154
Whole day,Dom. 3 Adventus,19.666666666666668,0.4552301515670225,0.46062992125984253,7,0.1391112287609548,0.40847220714328836,115.1732283464567,239,0.007020985025093207,0.43845071688325316
Whole day,Dom. 4 Adventus,20.555555555555557,0.4547010675049018,0.4881889763779528,4,0.13300275489061122,0.3056098876944244,115.03937007874016,242,0.0072127224215550135,0.49522741016187366
Whole day,Nativitas Domini,21.77777777777778,0.49557808455565144,0.4491803278688525,6,0.026043672249462555,0.2710738524265863,150.65573770491804,278,0.0050091549275721355,0.4529501674414605
Whole day,Vigilia Nat. Domini,18.88888888888889,0.4785745655310873,0.4782608695652174,5,0.16186714192521762,0.4243007472390353,120.60079051383399,244,0.006503504771303142,0.4293433023147297
Lauds,Dom. 1 Adventus,14.11111111111111,0.9697146185206756,0.20588235294117646,4,0.19703244346177157,0.5321290871965014,97.94117647058823,101,0.010306736556008545,0.039242363806704615
Lauds,Dom. 2 Adventus,16.555555555555557,0.9488888888888889,0.17,3,0.23168905701481457,0.5242494109053341,93.94,99,0.009520202020202019,0.05028873197700966
Lauds,Dom. 3 Adventus,14.444444444444445,0.9303473814142127,0.3177570093457944,4,0.31644940798483506,0.556992760892215,98.61682242990655,105,0.011047014467927888,0.05149847506974479
Lauds,Dom. 4 Adventus,15.666666666666666,0.887719298245614,0.391304347826087,3,0.23121714201603824,0.5427964839519323,101.2,111,0.008764504566533687,0.04631672582834253
Lauds,Nativitas Domini,15.777777777777779,0.953885112621618,0.2682926829268293,3,0.21829866468642536,0.44470877772066153,116.3739837398374,121,0.007832679600336175,0.040086613712796294
Lauds,Vigilia Nat. Domini,13.222222222222221,0.9831526271893244,0.38181818181818183,3,0.20201946199987653,0.35904659288363056,107.16363636363636,109,0.008043740153831897,0.08030941745680714
Vespers,Dom. 1 Adventus,10.222222222222221,0.8360582306830907,0.031578947368421054,5,0.1966540640674002,0.2739793257934387,78.58947368421053,89,0.009169285602475647,0.13688476712104397
Vespers,Dom. 2 Adventus,20.666666666666668,0.4125874125874126,0.07692307692307693,7,0.25747967675599254,0.23953133451463102,31.76923076923077,58,0.01488862015177805,0.2889616382305027
Vespers,Dom. 3 Adventus,11.88888888888889,0.6414928004701734,0.3855421686746988,8,0.18611544742754862,0.2470736974519552,52.602409638554214,71,0.012037309128111361,0.2002663990503136
Vespers,Dom. 4 Adventus,18.77777777777778,0.3623063683304647,0.34523809523809523,12,0.3382342900763953,0.29036613184772636,30.071428571428573,63,0.011311214661199972,0.285608977743025
Vespers,Nativitas Domini,18.333333333333332,0.5155073772959952,0.04878048780487805,9,0.1878747105651917,0.21139785233198732,41.75609756097561,61,0.015781202950918397,0.16456556796301092
Vespers,Vigilia Nat. Domini,18.555555555555557,0.4875886524822695,0.16666666666666666,8,0.17057790321802394,0.23133961362202496,22.916666666666668,37,0.018829016342892385,0.20339028637762702
Second Vespers,Dom. 1 Adventus,8.777777777777779,0.8518896833503575,0.2696629213483146,5,0.1833454354033155,0.2531775914895139,74.96629213483146,86,0.007153822220656781,0.1895223074501901
Second Vespers,Dom. 2 Adventus,9.777777777777779,0.6574229691876751,0.43529411764705883,5,0.22823736556904523,0.39269296258828296,55.22352941176471,76,0.011125172960750565,0.14836135010903373
Second Vespers,Dom. 3 Adventus,15.222222222222221,0.4572436085806641,0.30120481927710846,7,0.2834913896014188,0.3086741352800884,37.493975903614455,60,0.01218000578042371,0.3548133680294385
Second Vespers,Dom. 4 Adventus,24.11111111111111,0.1865079365079365,0.203125,11,0.4622654068446003,0.3525029002419617,11.75,35,0.019073220686123913,0.5819989614024162
Second Vespers,Nativitas Domini,10.555555555555555,0.8552341597796144,0.2396694214876033,7,0.1405556746238778,0.3449648244446231,102.62809917355372,115,0.007689191379030951,0.05603089173310053
Second Vespers,Vigilia Nat. Domini,17.555555555555557,0.8763197586726998,0.28846153846153844,3,0.1310717457229009,0.20714417086686426,44.69230769230769,50,0.01852564102564103,0.19738749419930413
Matins,Dom. 1 Adventus,10.777777777777779,0.8763886439781343,0.32710280373831774,4,0.06597470820470934,0.3041707045074292,92.89719626168224,104,0.010566709491061456,0.10845108713459255
Matins,Dom. 2 Adventus,13.0,0.8905066977285964,0.0392156862745098,4,0.1571566537458026,0.35633273162807666,89.94117647058823,98,0.016118714812657736,0.1157823607810522
Matins,Dom. 3 Adventus,8.11111111111111,0.8672226855713094,0.32727272727272727,4,0.17255178489948614,0.36407595840295115,94.52727272727273,106,0.011410743520835265,0.11102649239514838
Matins,Dom. 4 Adventus,11.222222222222221,0.8884820747520976,0.391304347826087,4,0.20500644859227274,0.3647328747305847,101.28695652173913,111,0.013805579743896101,0.10838932881696814
Matins,Nativitas Domini,16.0,0.8843395789960675,0.10606060606060606,8,0.054881056783613845,0.36500104427878366,115.84848484848484,126,0.007738571860709266,0.0363422878122551
Matins,Vigilia Nat. Domini,13.444444444444445,0.9483249051833123,0.07079646017699115,5,0.15157782137902356,0.3743299359978877,106.21238938053098,110,0.00903700793081324,0.07669484610132221
