s_part,n_source_edges,f_part_597,f_part_688,f_part_621,f_part_531,f_part_415,f_part_540,f_part_744,f_part_681,f_part_529,f_part_891,f_part_1061,f_part_1049,f_part_452,f_part_769,f_part_704
26,3283,0.057569296375266525,0.2650015229972586,0.11970758452634785,0.18641486445324398,0.003350593968930856,0.09381663113006397,0.004568991775814804,0.003045994517209869,0.012183978068839476,0.24550715808711546,0.008833384099908621,0.0,0.0,0.0,0.0
326,1750,0.045142857142857144,0.002285714285714286,0.0,0.028,0.26,0.018857142857142857,0.17542857142857143,0.053142857142857144,0.04171428571428572,0.0,0.088,0.0,0.0,0.07085714285714285,0.21657142857142858
318,2228,0.06059245960502693,0.0973967684021544,0.0381508078994614,0.07854578096947935,0.13913824057450627,0.057001795332136444,0.08348294434470377,0.08393177737881508,0.055206463195691204,0.11086175942549371,0.10861759425493717,0.0,0.004039497307001795,0.027827648114901255,0.055206463195691204
231,7239,0.05677579776212184,0.11603812681309573,0.042547313164801766,0.08495648570244509,0.0873048763641387,0.06188700096698439,0.09711286089238845,0.10360547036883548,0.07404337615692776,0.12598425196850394,0.01588617212322144,0.0,0.0,0.03771239121425611,0.09614587650227932
27,2125,0.04,0.20423529411764707,0.07952941176470588,0.1251764705882353,0.011294117647058824,0.064,0.02164705882352941,0.1312941176470588,0.08,0.23858823529411766,0.0042352941176470585,0.0,0.0,0.0,0.0
190,5915,0.04378698224852071,0.1455621301775148,0.06339814032121724,0.08300929839391377,0.024513947590870666,0.06322907861369399,0.08841927303465764,0.12138630600169062,0.0441251056635672,0.16263736263736264,0.011665257819103972,0.0,0.002366863905325444,0.03803888419273035,0.10786136939983094
100,1095,0.1589041095890411,0.0,0.0,0.01004566210045662,0.22465753424657534,0.17625570776255708,0.28949771689497716,0.0,0.04200913242009133,0.0,0.0639269406392694,0.0,0.029223744292237442,0.005479452054794521,0.0
401,1851,0.07725553754727174,0.11507293354943274,0.006482982171799027,0.036196650459211235,0.04051863857374392,0.07401404646137223,0.09454349000540249,0.1091301998919503,0.019448946515397084,0.06266882766072393,0.05942733657482442,0.0,0.18584548892490546,0.014586709886547812,0.10480821177741761
290,9498,0.012002526847757423,0.13918719730469573,0.005158980838071173,0.005790692777426827,0.017161507685828595,0.07580543272267846,0.10539060854916825,0.11307643714466203,0.003158559696778269,0.16540324278795535,0.24110339018740787,0.0,0.0003158559696778269,0.0004211412929037692,0.11602442619498841
122,1703,0.04169113329418673,0.0035231943628890195,0.0,0.0017615971814445098,0.12096300645918967,0.009395184967704051,0.14210217263652378,0.2360540223135643,0.15619495008807985,0.0005871990604815032,0.019377568995889608,0.0,0.0,0.06870229007633588,0.1996476805637111
269,1305,0.07203065134099616,0.03065134099616858,0.0,0.0,0.1471264367816092,0.07203065134099616,0.18237547892720307,0.09655172413793103,0.0038314176245210726,0.0,0.3348659003831418,0.0,0.004597701149425287,0.0022988505747126436,0.05363984674329502
16,2344,0.026450511945392493,0.2235494880546075,0.0008532423208191126,0.005546075085324232,0.01749146757679181,0.059726962457337884,0.06100682593856655,0.14846416382252559,0.0034129692832764505,0.26578498293515357,0.06527303754266212,0.0,0.0,0.002559726962457338,0.11988054607508532
327,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
162,3367,0.0397980397980398,0.1591921591921592,0.008613008613008613,0.00594000594000594,0.06444906444906445,0.08345708345708346,0.10602910602910603,0.11375111375111376,0.002079002079002079,0.17671517671517672,0.23373923373923375,0.0,0.0,0.001188001188001188,0.005049005049005049
157,1321,0.07721423164269493,0.18168054504163514,0.004542013626040878,0.021196063588190765,0.09159727479182438,0.12566237698713095,0.19227857683573052,0.15442846328538987,0.009084027252081756,0.005299015897047691,0.046934140802422405,0.0,0.0,0.012869038607115822,0.07721423164269493
351,9360,0.05299145299145299,0.11794871794871795,0.0023504273504273503,0.006730769230769231,0.1014957264957265,0.0751068376068376,0.1033119658119658,0.10256410256410256,0.005021367521367522,0.1325854700854701,0.20106837606837608,0.0,0.0011752136752136752,0.00042735042735042735,0.09722222222222222
,,2548.0,7211.0,1450.0,2468.0,3788.0,3876.0,5474.0,5736.0,1660.0,7588.0,6442.0,130.0,419.0,872.0,4852.0
