siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
A-KN CCl 1010,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
A-KN CCl 1017,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
A-Wda C-11,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
CH-SGs 390,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
D-KNd 1161,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
H-Bu lat. 118,835,20,14,2,2,0,0,0,0,0,0,0,39,2,3,0,0,0,0,0,0,0,0,0
