s_part,n_source_edges,f_part_1170,f_part_1208,f_part_440,f_part_483,f_part_432,f_part_802,f_part_1610,f_part_650,f_part_1404,f_part_1681,f_part_2492,f_part_584,f_part_2006,f_part_836,f_part_641,f_part_739
108,2745,0.13005464480874318,0.0029143897996357013,0.34790528233151186,0.44663023679417124,0.02185792349726776,0.0007285974499089253,0.011657559198542805,0.020765027322404372,0.0,0.003278688524590164,0.0007285974499089253,0.004371584699453552,0.0,0.009107468123861567,0.0,0.0
145,1677,0.031604054859868815,0.00655933214072749,0.016696481812760882,0.0017889087656529517,0.08586762075134168,0.0005963029218843172,0.19081693500298152,0.2116875372689326,0.0,0.05008944543828265,0.008944543828264758,0.08228980322003578,0.0005963029218843172,0.10852713178294573,0.18962432915921287,0.014311270125223614
5,1515,0.0858085808580858,0.012541254125412541,0.10363036303630363,0.1867986798679868,0.0231023102310231,0.0,0.1504950495049505,0.14653465346534653,0.0,0.09174917491749175,0.0231023102310231,0.09438943894389439,0.0006600660066006601,0.05148514851485148,0.0297029702970297,0.0
6,9637,0.07844764968351146,0.0032167687039535123,0.16052713500051882,0.26377503372418803,0.019611912420877866,0.0003113001971567915,0.020338279547577047,0.13365155131264916,0.0,0.11009650306111861,0.014112275604441216,0.010999273632873301,0.002801701774411124,0.08903185638684238,0.09287122548510947,0.00020753346477119436
323,1046,0.1118546845124283,0.0965583173996176,0.03154875717017208,0.5621414913957935,0.0028680688336520078,0.0,0.0057361376673040155,0.04206500956022945,0.0,0.09847036328871893,0.0028680688336520078,0.033460803059273424,0.0028680688336520078,0.0,0.0,0.009560229445506692
22,2632,0.06534954407294832,0.003799392097264438,0.26063829787234044,0.3810790273556231,0.02735562310030395,0.0,0.007598784194528876,0.02317629179331307,0.0,0.08548632218844984,0.12575987841945288,0.003799392097264438,0.0011398176291793312,0.014817629179331307,0.0,0.0
61,5712,0.07230392156862746,0.0028011204481792717,0.12727591036414565,0.19187675070028012,0.11659663865546219,0.0,0.06320028011204482,0.11887254901960784,0.0,0.09173669467787114,0.056897759103641456,0.02415966386554622,0.0,0.06144957983193277,0.07212885154061624,0.0007002801120448179
30,1032,0.03875968992248062,0.0029069767441860465,0.11531007751937984,0.35755813953488375,0.014534883720930232,0.0009689922480620155,0.020348837209302327,0.02422480620155039,0.0,0.14922480620155038,0.10755813953488372,0.0029069767441860465,0.0029069767441860465,0.05910852713178295,0.10271317829457365,0.0009689922480620155
344,913,0.0755750273822563,0.02190580503833516,0.05585980284775466,0.18072289156626506,0.02628696604600219,0.0,0.04928806133625411,0.10514786418400876,0.0,0.11062431544359255,0.040525739320920046,0.044906900328587074,0.26506024096385544,0.019715224534501644,0.004381161007667032,0.0
274,13126,0.08113667530092945,0.14589364619838488,0.010361115343592868,0.27167453908273653,0.004113972268779522,0.0,0.01988419929910102,0.10566813957031845,0.0,0.10726801767484383,0.00022855401493219565,0.1474173396312662,0.0009904007313728477,0.0023617248209660217,0.1029254913911321,7.618467164406521e-05
92,1620,0.08456790123456791,0.017901234567901235,0.020987654320987655,0.09259259259259259,0.007407407407407408,0.412962962962963,0.043209876543209874,0.10864197530864197,0.0,0.05493827160493827,0.0030864197530864196,0.030246913580246913,0.0024691358024691358,0.02345679012345679,0.09753086419753086,0.0
159,1252,0.1757188498402556,0.019968051118210862,0.005591054313099041,0.0007987220447284345,0.1501597444089457,0.0007987220447284345,0.14456869009584664,0.3562300319488818,0.0,0.00718849840255591,0.001597444089456869,0.0694888178913738,0.029552715654952075,0.038338658146964855,0.0,0.0
126,1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2029,0.011828486939379004,0.005914243469689502,0.001971414489896501,0.002957121734844751,0.0625924100542139,0.0004928536224741252,0.09167077378018729,0.18679152291769344,0.0,0.20601281419418432,0.11631345490389354,0.020699852143913258,0.0,0.11877772301626417,0.1739773287333662,0.0
160,4280,0.07570093457943926,0.14929906542056076,0.008411214953271028,0.2261682242990654,0.017289719626168223,0.0,0.075,0.11378504672897197,0.0,0.10163551401869159,0.00046728971962616824,0.13271028037383178,0.00023364485981308412,0.002102803738317757,0.005841121495327103,0.09135514018691589
262,8110,0.09099876695437731,0.10764488286066584,0.0069050554870530205,0.1969173859432799,0.016029593094944512,0.00012330456226880394,0.14451294697903821,0.1218249075215783,0.0,0.09531442663378545,0.002096177558569667,0.12996300863131935,0.0017262638717632551,0.0038224414303329223,0.08212083847102343,0.0
217,2418,0.07568238213399504,0.08188585607940446,0.006617038875103391,0.37675765095119934,0.009511993382961124,0.0,0.021918941273779982,0.09181141439205956,0.0,0.1575682382133995,0.0012406947890818859,0.02315963606286187,0.0,0.007857733664185277,0.14598842018196856,0.0
,,4798.0,3910.0,4592.0,14474.0,1816.0,679.0,3473.0,6912.0,1071.0,5913.0,1263.0,4417.0,349.0,2029.0,4686.0,433.0
