s_part,n_source_edges,f_part_1374,f_part_816,f_part_1579,f_part_563,f_part_480,f_part_770,f_part_1565,f_part_1021,f_part_824,f_part_2399,f_part_675,f_part_798,f_part_905,f_part_1275,f_part_1113,f_part_1246,f_part_713,f_part_2461,f_part_2079
13,3071,0.09345490068381634,0.004233148811462064,0.19146857701074568,0.22468251383914034,0.1637902963204168,0.02311950504721589,0.0,0.014653207424291761,0.022142624552263106,0.0,0.0022793878215564964,0.0,0.0162813415825464,0.2406382285900358,0.0022793878215564964,0.0009768804949527841,0.0,0.0,0.0
321,1987,0.018621036738802214,0.00754906894816306,0.020130850528434826,0.001509813789632612,0.0,0.10820332159033719,0.0,0.21389028686462003,0.2093608454957222,0.0,0.04831404126824358,0.008555611474584801,0.02264720684448918,0.0,0.06592853548062405,0.0669350780070458,0.19627579265223954,0.0,0.012078510317060896
56,3662,0.04778809393773894,0.012288367012561441,0.0718186783178591,0.07673402512288367,0.05161114145275805,0.1654833424358274,0.0,0.1119606772255598,0.09448388858547242,0.0,0.07618787547788095,0.024576734025122882,0.030857454942654287,0.09366466411796832,0.058164937192790825,0.027307482250136537,0.05024576734025123,0.006007646095030038,0.0008192244675040961
32,6781,0.05987317504792804,0.0045715971095708595,0.08686034508184634,0.13449343754608464,0.08155139359976404,0.028904291402448018,0.0001474708745022858,0.03155876714348916,0.1290370151895001,0.0,0.1058840878926412,0.010912844713169148,0.01651673794425601,0.15720395221943667,0.005308951482082289,0.04497861672319717,0.09983778203804748,0.0019171213685297154,0.0004424126235068574
285,7066,0.0595810925559015,0.1563826776110954,0.006085479762241721,0.12652136994056043,0.010897254457967733,0.0022643645626945937,0.0,0.011463345598641381,0.10699122558731956,0.0,0.10472686102462496,0.0,0.0016982734220209455,0.1647325219360317,0.13939994339088593,0.00042456835550523637,0.10868949900934051,0.0,0.0001415227851684121
62,2244,0.053475935828877004,0.004010695187165776,0.1305704099821747,0.17379679144385027,0.1270053475935829,0.03832442067736185,0.0,0.01693404634581105,0.026292335115864526,0.0,0.08957219251336898,0.10338680926916222,0.022281639928698752,0.21212121212121213,0.0,0.0022281639928698753,0.0,0.0,0.0
2,4246,0.05605275553462082,0.002119642016015073,0.07819123881300047,0.09750353273669336,0.053697597739048517,0.06665096561469619,0.0,0.06924163918982572,0.12859161563824775,0.0,0.09538389072067828,0.06217616580310881,0.0287329251059821,0.11658031088082901,0.011540273198304286,0.038624587847385775,0.09444182760244936,0.0,0.0004710315591144607
43,1986,0.05639476334340383,0.0,0.08610271903323263,0.11581067472306143,0.07452165156092648,0.0015105740181268882,0.0,0.023162134944612285,0.10574018126888217,0.0,0.10976837865055387,0.006545820745216516,0.13997985901309165,0.13595166163141995,0.01460221550855992,0.044310171198388724,0.08559919436052367,0.0,0.0
143,961,0.021852237252861603,0.004162330905306972,0.06971904266389178,0.14672216441207075,0.05827263267429761,0.031217481789802288,0.0,0.027055150884495317,0.03433922996878252,0.0,0.13215400624349635,0.08844953173777315,0.015608740894901144,0.2247658688865765,0.0,0.030176899063475548,0.1113423517169615,0.003121748178980229,0.001040582726326743
92,1620,0.059876543209876544,0.019753086419753086,0.013580246913580247,0.05740740740740741,0.008024691358024692,0.020987654320987655,0.4080246913580247,0.06172839506172839,0.11358024691358025,0.0,0.050617283950617285,0.0024691358024691358,0.006790123456790123,0.04259259259259259,0.022222222222222223,0.011111111111111112,0.10123456790123457,0.0,0.0
284,1158,0.15975820379965458,0.027633851468048358,0.004317789291882556,0.009499136442141624,0.0,0.13298791018998274,0.0,0.19861830742659758,0.33419689119170987,0.0,0.0,0.0,0.03626943005181347,0.0,0.06303972366148532,0.012089810017271158,0.0025906735751295338,0.018998272884283247,0.0
159,1334,0.11394302848575712,0.038980509745127435,0.03973013493253373,0.1926536731634183,0.005247376311844078,0.04047976011994003,0.0,0.06296851574212893,0.25112443778110943,0.0,0.14767616191904048,0.0022488755622188904,0.010494752623688156,0.014992503748125937,0.011244377811094454,0.023238380809595203,0.04122938530734633,0.0037481259370314842,0.0
296,1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1788,0.008389261744966443,0.005592841163310962,0.0016778523489932886,0.002796420581655481,0.0,0.06879194630872483,0.0,0.09284116331096197,0.18008948545861297,0.0,0.2080536912751678,0.12416107382550336,0.03859060402684564,0.0005592841163310962,0.013982102908277404,0.07046979865771812,0.18400447427293065,0.0,0.0
94,4396,0.05573248407643312,0.15559599636032756,0.004777070063694267,0.10964513193812557,0.004094631483166515,0.014786169244767972,0.0,0.09303912647861692,0.11828935395814377,0.0,0.10077343039126478,0.00022747952684258417,0.0022747952684258415,0.13034576888080074,0.10964513193812557,0.001364877161055505,0.0065969062784349405,0.0,0.09281164695177434
196,6580,0.067629179331307,0.11246200607902736,0.004711246200607902,0.09331306990881459,0.001975683890577508,0.01702127659574468,0.0,0.18662613981762918,0.1264437689969605,0.0,0.08617021276595745,0.001519756838905775,0.005775075987841946,0.10212765957446808,0.10851063829787234,0.00015197568389057752,0.08525835866261398,0.00030395136778115504,0.0
263,7317,0.06806068060680606,0.14486811534782015,0.004510045100451004,0.11548448817821512,0.0016400164001640015,0.013803471368047014,0.0,0.06614732813994807,0.12259122591225913,0.0,0.1003143364766981,0.001093344266776001,0.0025966926335930026,0.14281809484761515,0.11821784884515511,0.0012300123001230013,0.09443761104277709,0.002186688533552002,0.0
253,3071,0.06414848583523282,0.09931618365353305,0.00488440247476392,0.19635297948550962,0.0006512536633018561,0.007815043959622273,0.0,0.02149137088896125,0.08303484207098664,0.0,0.13643764246173884,0.0019537609899055682,0.0026050146532074245,0.24715076522305438,0.017909475740801043,0.0026050146532074245,0.11364376424617388,0.0,0.0
350,476,0.058823529411764705,0.012605042016806723,0.01050420168067227,0.12605042016806722,0.008403361344537815,0.0,0.0021008403361344537,0.07142857142857142,0.08403361344537816,0.0,0.11764705882352941,0.029411764705882353,0.023109243697478993,0.09243697478991597,0.04201680672268908,0.0021008403361344537,0.0,0.31932773109243695,0.0
,,3679.0,4152.0,2574.0,6925.0,2108.0,2173.0,663.0,4380.0,7081.0,1071.0,5661.0,1043.0,1019.0,7952.0,3735.0,1044.0,4878.0,235.0,442.0
