network_1,network_2,edges_1,edges_2,shared_edges,edge_overlap_0.0,edge_overlap_0.2,edge_overlap_0.3,edge_overlap_0.4,edge_overlap_0.5,edge_overlap_0.6,edge_overlap_0.7,edge_overlap_0.8,num_partitions_1,num_partitions_2,n_shared_nodes,adjusted_rand_index,normalized_mutual_info
Dom. 1 Quadragesimae,Dom. 2 Quadragesimae,2548,316,142,0.6900152159084947,0.6043363994743758,0.4791756426827517,0.3272541332878814,0.2187080911935628,0.11257871294731991,0.07652173913043478,0.05216752387950037,9,15,248,0.3332159988894543,0.5150024610491791
Dom. 1 Quadragesimae,Dom. 3 Quadragesimae,2548,4047,1753,0.7994324516063647,0.7873199541975532,0.7507431821119297,0.6571531791907514,0.6117960088691796,0.581397945511389,0.47776686772338334,0.3620404791408509,9,10,255,0.7028514597378963,0.6756134412242272
Dom. 1 Quadragesimae,Dom. 4 Quadragesimae,2548,3326,1447,0.7600609306667977,0.7414444182204389,0.6911488936117015,0.5860627177700348,0.498708656169291,0.44939056703762587,0.3806337066375307,0.3268579173255026,9,8,251,0.7606317588954191,0.7412089050171945
Dom. 1 Quadragesimae,Dom. in Palmis,2548,489,245,0.5142712721145746,0.6970785722699965,0.6174941512867169,0.5107522707864296,0.4346582200878717,0.2791885373811888,0.14288659793814432,0.08775071633237823,9,12,247,0.4332796860630751,0.5566287941669164
Dom. 1 Quadragesimae,Dom. Resurrectionis,2548,580,244,0.3567713004484305,0.37920408054832366,0.3185558148102665,0.25610887720383546,0.20785361842105263,0.1637759454080182,0.11288368336025849,0.08460471567267684,9,13,226,0.24127119698772137,0.4352424169168561
Dom. 2 Quadragesimae,Dom. 3 Quadragesimae,316,4047,216,0.7203704672701585,0.6126524010947997,0.49641261675917153,0.32711063700091436,0.21933649289099527,0.10882981248516496,0.075655313137655,0.05208584518929347,16,11,256,0.31632622647405234,0.5988833679543217
Dom. 2 Quadragesimae,Dom. 4 Quadragesimae,316,3326,195,0.6838500177583845,0.5689162051968599,0.46336935622886694,0.31537992065913945,0.2018957345971564,0.09863523573200993,0.07385129490392649,0.05657093124456049,17,9,255,0.30115724772625113,0.5588222046518976
Dom. 2 Quadragesimae,Dom. in Palmis,316,489,91,0.43369369980004746,0.5207979626485568,0.3969824561403509,0.2604646957779586,0.19322219185569828,0.13340534701593304,0.10905840286054827,0.12745098039215685,16,12,246,0.27963608376416965,0.45880554412515134
Dom. 2 Quadragesimae,Dom. Resurrectionis,316,580,39,0.29539738811623184,0.2750846193563192,0.19873518935814494,0.1422790202342918,0.10328879753340185,0.0675547098001903,0.05054566341183228,0.045507584597432905,16,11,223,0.1430086746461295,0.39110452001602847
Dom. 3 Quadragesimae,Dom. 4 Quadragesimae,4047,3326,2188,0.8926755887540201,0.8716664655484494,0.8417692952479205,0.7788301641240691,0.7100728675525075,0.6670894102726697,0.5724011521340665,0.4219864995178399,10,9,267,0.7805441284179204,0.7902705942276924
Dom. 3 Quadragesimae,Dom. in Palmis,4047,489,346,0.5577264653641207,0.7558489691915682,0.691376217324449,0.5881168927985687,0.4942099364960777,0.3088425762392559,0.15950155763239876,0.08257756563245823,10,17,262,0.2497799630048678,0.48517867930367753
Dom. 3 Quadragesimae,Dom. Resurrectionis,4047,580,360,0.39230862256621113,0.4327073552425665,0.3642191488098771,0.29860712234348075,0.25127783862723624,0.1860009225092251,0.12747185883784606,0.0843684087180689,8,12,239,0.27503082169634036,0.43590843419209996
Dom. 4 Quadragesimae,Dom. in Palmis,3326,489,306,0.5635280095351609,0.7307295251204404,0.6459386901417244,0.5228484935851232,0.4201310945496992,0.2610346464167062,0.13910079532543418,0.0872043317184383,9,15,261,0.3106456828902704,0.4759965648957838
Dom. 4 Quadragesimae,Dom. Resurrectionis,3326,580,380,0.38834486269577456,0.4303214323107528,0.36573027020592785,0.30392370968916066,0.24930722335119157,0.19213920661961548,0.13611969425922915,0.10777084515031196,8,12,237,0.29905107481389787,0.46773723271136325
Dom. in Palmis,Dom. Resurrectionis,489,580,101,0.4598321185169592,0.44797389175958663,0.38141451741558097,0.3280014541488685,0.26881293057763644,0.21403260099220411,0.14855244423350736,0.10433884297520661,14,14,246,0.19025378499477866,0.42670772565040255
