siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
D-Sl Cod.Bibl.fol.065,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
"E-BAR, s.s.",86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
E-Bbc Ms. 2545,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
E-H Ms. 7 (ant. 5),86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1010,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1011,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1015,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1017,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
A-Wda C-11,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
CH-SGs 390,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
CZ-Pu Pu XIV A 19,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
D-KNd 1161,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
D-MZb A,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [02] II,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
H-Bu lat. 118,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
I-MC 542,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
I-VCd CLXX,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
PL-STAb ms. 1,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
V-CVbav Cappella Sistina 27,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
CZ-Pn XII A 24,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
E-VI Mss. 113-114,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
I-BV V 19,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [01] I,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
"E-TZ, Ms. 18",86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
F-Pn Lat. 17991,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
PL-GD Mar. F 408,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [15] XV,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
E-SA 5,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
F-Pn Lat. 9449,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
GB-Lbl Additional 18031,86,19,9,2,2,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),128,2,9,2,2,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,128,2,9,2,2,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
CZ-Bu R 387,128,2,9,2,2,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
D-Mbs Clm 02542,128,2,9,2,2,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
SK-BRl Rkp. 387,128,2,9,2,2,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0
