siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 29 (olim 38/8 f.),836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
CZ-Pu VI.E.4c,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
CZ-Pu XIV.B.13,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1010,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1011,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1015,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
A-KN CCl 1017,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
A-Wda C-11,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
B-TOb 63 (olim V),836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
B-TOb 64 (olim IV),836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
CDN-Hsmu M2149.L4 1554,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
CH-SGs 390,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
D-KNd 1161,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
D-Mbs Clm 4303,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
H-Bu lat. 118,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
I-MC 542,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
I-VCd CLXX,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.2 (rkp. Perg. 14),836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
PL-Kkar Ms.5 (rkp. Perg. 13),836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
I-BV V 19,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [15] XV,836,28,5,2,0,0,0,0,0,0,0,0,32,6,1,1,0,0,0,0,0,0,0,0
A-Gu 30 (olim 38/9 f.),325,24,5,2,0,0,0,0,0,0,0,0,15,5,1,1,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,325,24,5,2,0,0,0,0,0,0,0,0,15,5,1,1,0,0,0,0,0,0,0,0
CZ-Bu R 387,325,24,5,2,0,0,0,0,0,0,0,0,15,5,1,1,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),823,11,5,2,0,0,0,0,0,0,0,0,31,1,1,1,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,823,11,5,2,0,0,0,0,0,0,0,0,31,1,1,1,0,0,0,0,0,0,0,0
CZ-Pu VI G 11,823,11,5,2,0,0,0,0,0,0,0,0,31,1,1,1,0,0,0,0,0,0,0,0
CH-E 611,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
D-KA Aug. LX,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
D-Sl HB.I.55,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
A-SF XI 480,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
CH-SGs 388,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
D-AAm G 20,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
D-B Mus. 40047,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
D-BAs Msc.Lit.25 (olim Ed.IV.11),21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
D-KNd 215,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
E-Tc 44.1,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
E-Tc 44.2,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
F-Pn Latin 12044,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
F-VAL 114,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
GB-Ob MS. Canon. Liturg. 202,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
GB-Ob MS. Laud Misc. 284,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
I-Far s.c.,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
I-PCd cod. 65,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
I-Rv C.5,21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"GB-Lbl printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)",21,11,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,198,24,5,2,0,0,0,0,0,0,0,0,9,5,1,1,0,0,0,0,0,0,0,0
SK-Sk 2,198,24,5,2,0,0,0,0,0,0,0,0,9,5,1,1,0,0,0,0,0,0,0,0
D-W Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),198,24,5,2,0,0,0,0,0,0,0,0,9,5,1,1,0,0,0,0,0,0,0,0
SI-Lna 19 (olim 18),198,24,5,2,0,0,0,0,0,0,0,0,9,5,1,1,0,0,0,0,0,0,0,0
